Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,15,2016-04-19,SFG,ARI,8-GF,,99,2.0,1,0,0,2,2,0,0,0.00,8,26,14,4,3,2,2,1,0,0,,0,0,0,0,0,6,1,0,1,1,0,0,.20,0.021,.22,0.01%,0.95,8t --- 0 out d3,9t end d 3,,SFG,1.5,L,0,3,,
2,17,2016-04-21,SFG,ARI,9-GF,,1,0.2,0,0,0,1,0,0,0,0.00,2,8,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,.16,0.007,.16,0.00%,0.92,9t --3 1 out d4,9t end d 4,,SFG,5.0,L,2,6,,
3,20,2016-04-24,SFG,MIA,6-6,,2,0.1,0,0,0,0,1,0,0,0.00,1,5,3,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.07,0.029,.95,0.02%,0.35,6t --3 2 out d2,6t 3 out d2,,SFG,0.0,L,4,5,,
4,23,2016-04-27,SFG,SDP,7-7,,2,0.2,3,3,3,0,1,1,0,7.36,5,19,10,2,4,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.08,-0.011,.09,-0.01%,-2.62,7t --- 0 out a8,7t --- 2 out a5,,SFG,15.0,W,13,9,,
5,24,2016-04-29,SFG,NYM,6-7,,1,2.0,3,1,1,0,2,0,0,6.35,9,35,21,5,5,3,4,2,2,0,,0,0,0,0,0,9,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.05,6b --- 0 out d12,7b 3 out d12,,NYM,1.5,L,1,13,,
6,69,2016-06-18,SFG,TBR,5-5,,49,0.1,0,0,0,0,0,0,0,6.00,1,1,1,0,0,0,1,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.64,0.066,2.63,0.04%,0.76,5b 123 2 out d1,5b 3 out d1,,TBR,0.0,W,6,4,,
7,70,2016-06-19,SFG,TBR,9-9,,0,0.0,1,0,0,0,0,0,0,6.00,1,4,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.42,-0.021,.43,-0.01%,-0.38,9b --- 0 out a4,9b 1-- 0 out a4,,TBR,inf,W,5,1,,
8,134,2016-09-02,SFG,CHC,6-6,,74,0.2,1,0,0,1,1,0,0,5.40,4,22,15,4,2,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.82,0.004,1.50,0.01%,0.06,6b --- 0 out d2,6b 12- 2 out d2,,CHC,10.0,L,1,2,,
9,136,2016-09-04,SFG,CHC,11-11,,1,1.0,0,0,0,0,0,0,0,4.70,3,6,4,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.137,3.07,0.14%,0.50,11b --- 0 out tie,11b 3 out tie,,CHC,0.0,L,2,3,,
10,139,2016-09-07,SFG,COL,6-6,H(1),2,1.0,0,0,0,0,1,0,0,4.15,3,17,11,0,4,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.02,0.081,1.75,0.08%,0.58,6b --- 0 out a2,6b 3 out a2,,COL,0.0,L,5,6,,
11,143,2016-09-12,SFG,SDP,7-7,,4,1.0,0,0,0,0,1,0,0,3.72,3,9,8,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.011,.23,0.01%,0.48,7t --- 0 out d4,7t 3 out d4,,SFG,0.0,L,0,4,,
12,144,2016-09-13,SFG,SDP,9-GF,BS(1),0,0.1,1,1,1,0,0,1,0,4.50,2,7,6,2,0,0,2,0,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,3.50,-0.716,5.40,-0.66%,-2.42,9t -23 2 out a1,9t end d 2,,SFG,10.0,L,4,6,,
13,149,2016-09-18,SFG,STL,9-9,,4,0.0,1,0,0,0,0,0,0,4.50,1,5,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.11,-0.005,.25,-0.01%,-0.38,9t --- 0 out d3,9t 1-- 0 out d3,,SFG,inf,L,0,3,,
14,151,2016-09-20,SFG,LAD,6-7,H(2),1,1.2,1,0,0,0,3,0,0,3.86,6,30,22,5,5,1,2,1,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,2.10,0.261,4.49,0.34%,1.37,6b 12- 1 out a1,7b 3 out a1,,LAD,0.8333333333333334,W,2,0,,
