,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,8,2015-04-14,ATL,MIA,3-7,,99,4.0,4,2,2,1,3,0,0,4.5,17,59,44,10,5,6,7,2,2,0,,3,0,1,0,0,14,1,0,0,0,1,0,0.41,0.001,0.51,0.00%,0.45,3t 123 1 out d4,7t 12- 1 out d4,,ATL,1.25,L,2,8
1,2,11,2015-04-18,ATL,TOR,10-GF(10),L(0-1),3,0.0,1,1,1,0,0,1,0,6.75,1,2,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.26,-0.363,2.45,-0.24%,-1.0,10b --- 0 out tie,10b end d 1,,TOR,inf,L,5,6
2,3,13,2015-04-21,ATL,NYM,7-GF(8),,2,2.0,3,2,2,2,0,0,0,7.5,11,41,24,5,1,3,6,0,1,0,,0,0,0,0,0,8,1,0,0,0,1,0,0.06,-0.003,0.08,0.00%,-1.1,7b --- 0 out d4,8b end d 6,,NYM,2.5,L,1,7
3,4,15,2015-04-23,ATL,NYM,5-6,,1,1.1,0,0,0,1,2,0,0,6.14,5,20,12,6,1,2,0,0,0,0,,3,1,0,0,0,4,0,0,0,0,0,0,1.64,-0.038,2.16,-0.03%,0.18,5b 123 2 out tie,6b 3 out d1,,NYM,0.9090909090909092,L,3,6
4,5,65,2015-06-16,ATL,BOS,8-GF(8),,53,1.0,4,3,3,0,0,0,0,8.64,7,18,12,1,1,2,5,1,0,0,,0,0,0,0,0,7,1,2,0,0,0,0,0.06,-0.011000000000000001,0.06,-0.01%,-2.48,8b --- 0 out d4,8b end d 7,,BOS,4.0,L,4,9
5,6,75,2015-06-27,ATL,PIT,8-GF(8),,10,1.0,1,0,0,0,0,0,0,7.71,3,11,9,4,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.06,0.002,0.06,0.00%,0.46,8b --- 0 out d4,8b end d 4,,PIT,1.0,L,4,8
6,7,126,2015-08-25,ATL,COL,6-7,,58,2.0,0,0,0,0,2,0,0,6.35,6,20,12,3,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.26,0.037000000000000005,0.0,0.00%,0.9,6t --- 0 out d3,7t 3 out d3,,ATL,0.0,L,1,5
7,8,128,2015-08-28,ATL,NYY,6-7,,2,2.0,0,0,0,1,0,0,0,5.4,6,23,12,6,0,2,3,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0.07,0.006,0.0,0.00%,0.9,6t --- 0 out d6,7t 3 out d6,,ATL,0.5,L,4,15
8,9,130,2015-08-30,ATL,NYY,5-6,,1,1.2,1,0,0,1,0,0,0,4.8,6,18,9,3,0,2,3,2,1,0,,3,1,0,0,0,5,0,0,0,1,0,0,0.22,0.004,0.0,0.00%,0.96,5t 123 1 out d5,6t 3 out d6,,ATL,1.6666666666666667,L,6,20
9,10,132,2015-09-01,ATL,MIA,3-7,,1,3.1,3,3,3,2,4,0,0,5.4,15,60,35,10,4,3,6,3,1,0,,1,0,1,0,0,13,1,0,0,0,0,0,0.39,0.022000000000000002,0.0,0.00%,-0.41,3t 1-- 2 out d3,7t 12- 0 out d4,,ATL,1.6129032258064515,L,1,7
10,11,134,2015-09-03,ATL,WSN,2-3,,1,1.0,3,2,2,0,1,0,0,6.05,6,21,14,4,5,3,2,2,0,0,,3,2,0,0,0,6,0,0,0,0,0,0,0.27,-0.051,0.0,0.00%,-1.2,2b 123 2 out d4,3b 12- 2 out d6,,WSN,3.0,L,1,15
11,12,137,2015-09-06,ATL,WSN,3-4,,2,2.0,1,1,1,2,1,1,0,5.91,10,32,16,6,2,2,5,2,1,0,,1,1,0,0,0,8,0,0,0,1,0,2,0.24,-0.026000000000000002,0.0,0.00%,-0.68,3b 1-- 0 out d5,4b 3 out d6,,WSN,1.5,L,4,8
12,13,144,2015-09-13,ATL,NYM,8-8,,6,1.0,0,0,0,1,1,0,0,5.64,3,17,9,3,3,0,1,0,1,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.63,0.10099999999999999,0.0,0.00%,0.45,8t --- 0 out tie,8t 3 out tie,,ATL,1.0,L,7,10
13,14,146,2015-09-16,ATL,TOR,4-5,,2,1.1,2,2,2,2,0,0,0,6.08,8,30,18,7,2,3,3,0,1,0,,2,0,0,0,0,6,2,0,0,0,0,0,0.42,-0.039,0.0,0.00%,-1.14,4t 12- 2 out d4,5t 3 out d6,,ATL,3.636363636363636,L,1,9
14,15,147,2015-09-17,ATL,TOR,9-GF,,0,1.0,1,1,1,1,0,1,0,6.2,5,20,10,3,2,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.03,-0.006,0.0,0.00%,-0.55,9t --- 0 out d4,9t end d 5,,ATL,2.0,L,0,5
15,16,154,2015-09-25,ATL,MIA,4-4,,7,1.0,6,4,4,0,0,0,0,7.36,8,26,17,4,1,2,6,5,0,0,,0,0,0,0,0,8,1,2,0,1,0,0,0.26,-0.10800000000000001,0.0,0.00%,-3.56,4b --- 0 out d3,4b 3 out d7,,MIA,6.0,L,11,12
