,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,14,132,2000-09-02,CLE,BAL,6-6,BS(1),99,1.0,2,1,1,0,1,0,0,9.0,5,18,12,3,2,1,3,1,0,0,,1,1,0,0,0,4,1,0,0,0,1,0,1.94,-0.124,4.5,-0.17%,-0.99,6t 1-- 0 out a2,6t 3 out tie,,CLE,2.0,L,6,8
1,15,133,2000-09-03,CLE,BAL,11-13,,0,2.1,1,0,0,1,2,0,0,2.7,9,37,21,8,1,3,3,1,0,0,,0,0,0,0,0,8,1,0,1,0,0,0,2.5,0.381,5.91,0.54%,1.49,11t --- 0 out tie,13t --- 1 out tie,,CLE,0.9523809523809524,W,12,11
2,16,137,2000-09-07,CLE,TBD,9-GF,,3,0.2,2,0,0,0,2,0,0,2.25,4,19,12,0,3,0,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.84,0.028999999999999998,1.78,0.04%,0.33,9t --- 1 out d1,9t end d 1,,CLE,10.0,L,3,4
3,17,142,2000-09-14,CLE,BOS,6-7,,6,1.1,1,0,0,0,1,0,0,1.69,5,24,14,4,2,1,3,2,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,0.27,-0.023,0.95,-0.05%,-0.03,6t -2- 2 out d4,7t 3 out d5,,CLE,0.9090909090909092,L,4,7
4,18,145,2000-09-17,CLE,NYY,7-7,,2,0.2,4,4,4,2,1,0,0,7.5,8,40,22,5,3,2,3,3,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,0.01,0.0,0.04,0.00%,-3.89,7b --- 0 out a15,7b 12- 2 out a11,,NYY,30.0,W,15,4
5,19,152,2000-09-22,CLE,KCR,5-6,,4,1.2,0,0,0,1,0,0,2,5.87,8,30,16,4,2,2,3,2,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,1.36,0.05,5.42,0.12%,0.38,5b --- 0 out tie,6b 123 2 out tie,,KCR,0.8333333333333334,L,2,3
6,20,154,2000-09-24,CLE,KCR,6-7,,1,1.1,3,2,2,1,0,0,0,7.0,7,26,18,4,0,2,4,3,0,0,,2,0,0,0,0,6,1,0,0,1,0,0,0.1,0.004,0.45,0.01%,-0.51,6b 12- 0 out d6,7b -2- 1 out d8,,KCR,3.636363636363636,L,0,9
7,21,54,2001-06-02,CIN,STL,6-7,,99,1.2,1,0,0,1,2,0,0,0.0,7,24,15,2,7,3,1,1,0,0,,0,0,0,0,0,6,0,1,0,0,0,1,0.28,0.026000000000000002,0.07,0.00%,0.81,6b --- 0 out d3,7b 1-- 2 out d3,,STL,1.6666666666666667,L,5,8
8,22,55,2001-06-03,CIN,STL,7-GF(8),,0,1.2,1,0,0,0,2,0,0,0.0,5,23,14,1,5,0,3,1,0,0,,1,0,0,1,0,5,0,0,0,0,0,0,0.95,0.127,0.2,0.02%,1.49,7b --3 1 out d1,8b end d 1,,STL,0.8333333333333334,L,3,4
9,23,57,2001-06-05,CIN,MIL,13-GF(13),S(1),1,1.0,0,0,0,0,1,0,0,0.0,3,16,10,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.66,0.203,0.32,0.02%,0.51,13b --- 0 out a1,13b end a 1,,MIL,0.0,W,4,3
