,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,42,2005-05-21,ATL,BOS,GS-5,W(1-0),99,5.0,4,0,0,3,6,0,0,0.0,22,95,57,18,8,4,9,3,1,0,62.0,,,0,0,0,19,0,0,0,0,0,0,1.05,0.249,1.27,0.18%,2.75,1b start tie,5b 3 out a6,,BOS,1.4,W,7,5
1,2,46,2005-05-25,ATL,NYM,GS-6,W(2-0),3,5.1,5,0,0,1,6,0,0,0.0,21,91,60,15,6,10,4,0,0,0,63.0,,,0,0,0,20,1,1,0,1,0,0,1.23,0.25,1.82,0.22%,2.12,1t start tie,6t --3 1 out a3,,ATL,1.1764705882352942,W,3,0
2,3,50,2005-05-30,ATL,WSN,GS-6,L(2-1),4,5.1,7,2,2,3,4,0,0,1.15,24,106,66,15,11,7,10,6,0,0,47.0,,,0,2,0,20,4,0,1,0,0,0,1.45,-0.111,2.22,-0.10%,-0.5,1b start tie,6b -23 1 out d1,,WSN,1.9607843137254903,L,2,3
3,4,55,2005-06-04,ATL,PIT,GS-8,,4,7.2,6,0,0,4,5,0,0,0.77,30,119,64,20,11,5,16,9,2,0,68.0,,,0,1,1,26,2,0,1,2,0,0,1.43,0.461,1.87,0.36%,3.57,1b start tie,8b 12- 2 out tie,,PIT,1.3888888888888888,W,1,0
4,5,60,2005-06-10,ATL,OAK,GS-6,,5,5.2,8,4,4,2,4,1,0,1.86,27,111,68,19,6,7,14,7,2,0,39.0,,,0,0,0,25,3,0,0,0,0,0,1.34,-0.192,1.61,-0.14%,-1.37,1t start tie,6t 12- 2 out tie,,ATL,1.9230769230769231,L,4,6
5,6,65,2005-06-15,ATL,TEX,GS-3,L(2-2),4,2.1,8,6,6,4,2,0,0,3.45,19,81,46,13,3,3,10,5,2,0,15.0,,,0,0,0,15,4,0,0,0,0,0,0.85,-0.40299999999999997,0.94,-0.27%,-5.29,1b start a 1,3b 12- 1 out d5,,TEX,5.7142857142857135,L,5,9
6,7,69,2005-06-19,ATL,CIN,GS-5,,3,4.1,9,5,5,2,3,0,0,4.29,23,89,52,19,5,3,15,9,2,0,26.0,,,0,0,0,21,1,0,0,0,0,0,1.19,-0.175,1.59,-0.14%,-1.39,1b start tie,5b 12- 1 out d1,,CIN,2.6829268292682933,L,8,11
7,8,73,2005-06-24,ATL,BAL,GS-6,W(3-2),4,6.0,8,5,5,1,1,2,0,4.75,26,89,54,8,1,11,13,3,1,0,36.0,,,0,0,0,24,2,0,0,1,0,0,0.77,-0.024,1.02,-0.02%,-1.93,1t start tie,6t 3 out a2,,ATL,1.5,W,7,5
8,9,78,2005-06-29,ATL,FLA,GS-5,,4,5.0,5,2,2,4,2,1,0,4.63,24,103,71,21,8,5,13,3,3,0,47.0,,,0,0,0,20,0,0,0,0,0,0,1.33,0.067,2.4,0.07%,0.38,1b start tie,5b 3 out a2,,FLA,1.8,L,5,6
9,10,83,2005-07-04,ATL,CHC,GS-7,W(4-2),4,6.2,4,0,0,4,3,0,0,4.05,28,96,54,13,6,8,13,2,3,0,65.0,,,0,0,0,24,0,0,0,1,0,1,1.12,0.306,1.91,0.31%,3.35,1t start tie,7t 1-- 2 out a3,,ATL,1.2903225806451613,W,4,0
10,11,88,2005-07-09,ATL,MIL,GS-5,L(4-3),4,5.0,5,4,4,4,2,0,0,4.32,23,76,46,9,6,7,10,1,2,0,39.0,,,0,0,0,18,2,0,0,1,0,0,1.15,-0.187,1.86,-0.18%,-1.44,1t start tie,5t 3 out d2,,ATL,1.8,L,6,9
11,12,104,2005-07-30,ATL,PIT,GS-6,W(5-3),20,6.0,2,3,3,3,8,1,0,4.34,23,112,70,22,11,7,5,1,1,0,61.0,,,0,1,1,20,0,0,0,0,0,1,0.67,-0.034,1.01,-0.03%,0.07,1t start tie,6t 3 out d1,,ATL,0.8333333333333334,W,9,6
12,13,109,2005-08-04,ATL,CIN,GS-6,W(6-3),4,5.2,4,3,3,3,7,1,0,4.37,24,99,62,19,6,7,7,1,1,0,53.0,,,0,0,0,21,1,0,0,0,0,0,1.26,-0.03,1.74,-0.03%,-0.33,1b start tie,6b --3 2 out a1,,CIN,1.346153846153846,W,7,4
13,14,116,2005-08-12,ATL,ARI,6-8,,7,3.0,5,3,3,2,2,0,0,4.56,16,59,37,10,4,1,11,4,1,0,,0.0,0.0,0,0,0,14,0,0,1,0,0,0,0.12,-0.036000000000000004,0.15,-0.03%,-1.46,6t --- 0 out d5,8t 3 out d8,,ATL,2.333333333333333,L,0,8
14,15,134,2005-09-01,ATL,WSN,8-GF(10),W(7-3),19,3.0,2,0,0,1,2,0,0,4.38,12,46,29,6,7,5,4,1,0,0,,0.0,0.0,0,0,0,11,0,0,0,0,0,0,2.18,0.38799999999999996,3.54,0.38%,1.54,8t --- 0 out tie,10t end tie,,ATL,1.0,W,8,7
15,16,138,2005-09-05,ATL,NYM,6-7,H(1),3,2.0,3,0,0,2,0,0,0,4.27,10,44,21,5,2,2,6,2,2,0,,0.0,0.0,0,0,0,8,1,0,1,0,0,0,2.31,0.177,2.38,0.11%,1.03,6t --- 0 out a1,7t 3 out a1,,ATL,2.5,W,4,2
16,17,141,2005-09-09,ATL,WSN,7-8,H(2),3,1.0,1,3,3,2,0,1,0,4.56,6,28,14,4,1,1,3,0,2,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.23,-0.21100000000000002,0.44,-0.05%,-1.5,7b --- 0 out a3,8b 12- 0 out a2,,WSN,3.0,L,6,8
17,18,152,2005-09-21,ATL,PHI,10-10,L(7-4),11,0.1,1,3,3,2,0,0,0,4.88,4,17,8,1,2,1,1,0,0,0,,0.0,0.0,0,0,0,2,1,0,1,0,0,0,2.81,-0.215,0.39,-0.02%,-1.08,10t --- 0 out tie,10t 123 1 out tie,,ATL,30.0,L,6,10
18,19,156,2005-09-25,ATL,FLA,6-6,,3,1.0,0,0,0,2,1,0,0,4.82,5,18,8,3,1,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.35,0.076,0.06,0.00%,0.51,6t --- 0 out tie,6t 3 out tie,,ATL,2.0,W,5,3
