Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,24,2014-04-25,SDP,WSN,6-7,,99,1.2,2,2,2,1,1,0,0,10.80,8,37,22,5,2,3,3,3,0,0,,2,1,0,0,0,7,2,0,0,0,0,0,.00,-0.001,.00,0.00%,-1.18,6b -23 1 out d7,7b 3 out d10,,WSN,2.5,L,1,11,,
2,37,2014-05-09,SDP,MIA,9-GF,,13,1.0,0,0,0,1,2,0,0,6.75,4,15,11,4,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.41,9t --- 0 out a9,9t end a 9,,SDP,1.0,W,10,1,,
3,42,2014-05-15,SDP,CIN,9-GF,,5,1.0,0,0,0,0,1,0,0,4.91,3,9,6,4,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,.06,0.00%,0.44,9b --- 0 out a5,9b end a 5,2,CIN,0.0,W,6,1,,
4,46,2014-05-20,SDP,MIN,9-GF,,4,1.0,0,0,0,0,1,0,0,3.86,3,11,9,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,.11,0.01%,0.41,9t --- 0 out d2,9t end d 2,,SDP,0.0,L,3,5,,
5,47,2014-05-21,SDP,MIN,9-GF,,0,1.0,0,0,0,0,1,0,0,3.18,3,10,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,.11,0.01%,0.41,9t --- 0 out d2,9t end d 2,,SDP,0.0,L,0,2,,
6,49,2014-05-23,SDP,CHC,6-7,,1,2.0,2,1,1,2,1,0,0,3.52,9,39,22,6,5,2,4,3,0,0,,0,0,0,0,0,7,1,0,0,1,0,0,.10,0.003,.05,0.00%,-0.19,6t --- 0 out a8,7t 3 out a7,,SDP,2.0,W,11,1,,
7,52,2014-05-26,SDP,ARI,9-GF,L(0-1),2,0.2,1,2,2,0,1,1,1,5.40,4,16,11,5,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.25,-0.373,1.28,-0.13%,-1.64,9b --- 0 out tie,9b end d 2,,ARI,5.0,L,5,7,,
8,53,2014-05-27,SDP,ARI,7-8,W(1-1),0,1.1,0,0,0,0,0,0,0,4.66,4,13,8,4,0,1,3,2,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,2.54,0.248,1.44,0.08%,1.18,7b 123 2 out tie,8b 3 out a1,,ARI,0.0,W,4,3,,
9,57,2014-06-01,SDP,CHW,7-7,,4,1.0,1,0,0,0,1,0,0,4.22,3,20,12,1,3,0,2,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.13,0.010,.08,0.00%,0.45,7b --- 0 out d3,7b 3 out d3,,CHW,1.0,L,1,4,,
10,58,2014-06-02,SDP,PIT,5-5,,0,0.1,0,0,0,0,0,0,0,4.09,1,5,2,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.36,0.010,.21,0.00%,0.19,5t 1-- 2 out d3,5t 3 out d3,,SDP,0.0,L,3,10,,
11,59,2014-06-03,SDP,PIT,8-8,,0,1.0,0,0,0,0,0,0,0,3.75,3,5,4,1,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,.07,0.00%,0.41,8t --- 0 out d3,8t 3 out d3,,SDP,0.0,L,1,4,,
12,61,2014-06-06,SDP,WSN,6-7,,2,1.2,0,0,0,0,1,0,0,3.29,5,13,11,4,1,3,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.06,0.007,.03,0.00%,1.22,6t 12- 1 out d6,7t 3 out d6,,SDP,0.0,L,0,6,,
13,63,2014-06-08,SDP,WSN,7-7,,1,1.0,1,0,0,1,2,0,0,3.07,5,21,12,7,1,0,2,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.05,0.002,.03,0.00%,0.41,7t --- 0 out d6,7t 3 out d6,,SDP,2.0,L,0,6,,
