Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
503,2,2000-03-30,CHC,NYM,8-8,,99,0.1,0,0,0,0,0,0,0,0.00,1,6,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.87,0.049,1.78,0.03%,0.25,8t --- 0 out tie,8t --- 1 out tie,,CHC,0.0,L,1,5
504,4,2000-04-05,CHC,STL,6-6,,5,1.0,0,0,0,0,0,0,0,0.00,3,10,6,2,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.43,0.034,.42,0.02%,0.57,6b --- 0 out d2,6b 3 out d2,,STL,0.0,L,4,10
505,6,2000-04-07,CHC,CIN,9-9,H(1),1,0.1,0,0,0,0,0,0,0,0.00,1,1,1,0,0,0,1,0,0,0,,3,1,0,0,0,0,0,0,0,0,1,0,1.42,0.032,1.21,0.02%,0.18,9b 123 1 out a5,9b 12- 2 out a4,,CIN,0.0,W,10,6
506,7,2000-04-08,CHC,CIN,9-11,L(0-1),0,2.2,0,1,1,2,5,0,0,2.08,10,47,26,4,12,2,1,1,0,0,,0,0,1,0,0,8,0,0,1,0,0,0,2.51,0.312,2.25,0.17%,1.07,9b --- 0 out tie,11b -23 2 out tie,,CIN,0.9090909090909091,L,3,4
507,9,2000-04-10,CHC,ATL,9-GF,W(1-1),1,1.0,0,0,0,0,0,0,0,1.69,3,10,6,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,.09,0.00%,0.54,9t --- 0 out d3,9t end d 3,,CHC,0.0,W,4,3
508,11,2000-04-13,CHC,ATL,8-GF,W(2-1),2,1.2,0,0,0,0,0,0,0,1.29,5,12,7,0,1,3,2,0,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,2.57,0.326,2.20,0.17%,1.50,8t 12- 1 out tie,9t end tie,,CHC,0.0,W,3,2
509,13,2000-04-15,CHC,FLA,8-8,H(2),1,1.0,0,0,0,1,1,0,0,1.13,4,15,10,4,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.52,0.080,1.29,0.04%,0.54,8t --- 0 out a2,8t 3 out a2,,CHC,1.0,W,4,2
510,15,2000-04-17,CHC,FLA,7-8,,1,1.1,1,0,0,0,1,0,0,0.96,4,15,10,2,4,1,2,0,1,0,,2,0,0,1,1,4,0,0,0,0,0,0,1.00,0.107,.84,0.05%,1.00,7t 12- 2 out d1,8t 3 out d1,,CHC,0.9090909090909091,L,5,6
511,17,2000-04-19,CHC,MON,7-7,,1,0.0,0,0,0,1,0,0,0,0.96,1,6,2,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,.88,-0.013,.66,-0.01%,-0.35,7b 12- 2 out d2,7b 123 2 out d2,,MON,inf,L,3,7
512,18,2000-04-20,CHC,MON,8-8,,0,1.0,1,0,0,0,0,0,0,0.87,3,9,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.37,0.019,.26,0.01%,0.58,8b --- 0 out a5,8b 3 out a5,,MON,1.0,W,10,6
513,20,2000-04-22,CHC,NYM,6-6,,1,1.0,1,1,0,1,1,0,0,0.79,6,24,15,5,2,3,1,0,0,0,,3,3,0,0,0,3,0,0,0,0,1,1,.93,-0.149,.68,-0.07%,-1.61,6b 123 0 out tie,6b 3 out d4,2,NYM,2.0,L,6,7
514,21,2000-04-23,CHC,NYM,7-7,,0,1.0,2,0,0,0,3,0,0,0.73,5,23,13,2,6,1,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.54,7b --- 0 out d10,7b 3 out d10,,NYM,2.0,L,8,15
515,22,2000-04-25,CHC,HOU,8-8,,1,0.1,3,3,3,0,0,0,0,2.84,4,16,11,1,1,2,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.78,-0.086,.53,-0.03%,-1.41,8b --- 0 out d1,8b 12- 1 out d2,,HOU,30.0,L,7,11
516,25,2000-04-28,CHC,ARI,8-8,H(3),2,0.1,1,0,0,0,0,0,0,2.77,2,8,6,3,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.56,0.028,1.05,0.01%,0.11,8t --- 2 out a1,8t 3 out a1,,CHC,10.0,W,6,5
517,26,2000-04-29,CHC,ARI,10-10,L(2-2),0,0.1,1,3,3,2,0,0,0,4.73,4,13,5,2,1,1,1,1,0,0,,0,0,0,0,0,1,0,0,2,0,0,0,3.52,-0.212,2.56,-0.09%,-1.08,10t --- 0 out tie,10t 123 1 out tie,,CHC,30.0,L,4,7
518,30,2000-05-04,CHC,HOU,5-7,,4,2.1,2,0,0,1,4,0,1,4.02,10,40,24,5,10,2,2,2,0,0,,3,3,0,1,0,8,1,0,0,0,0,0,.83,-0.220,.62,-0.10%,-1.11,5t 123 2 out tie,7t 3 out d3,,CHC,1.4285714285714286,L,2,6
519,33,2000-05-07,CHC,PIT,9-GF,,2,0.2,2,1,1,0,0,1,0,4.41,4,22,15,2,1,2,2,0,1,0,,2,2,0,0,0,4,0,0,0,0,0,0,.03,-0.005,.01,0.00%,-2.04,9t 12- 1 out d5,9t end d 8,,CHC,10.0,L,3,11
520,35,2000-05-09,CHC,MIL,7-8,L(2-3),1,1.1,1,1,1,2,0,0,0,4.58,7,39,19,4,2,3,2,0,0,0,,2,0,0,0,0,4,0,0,1,0,1,0,2.87,-0.104,1.54,-0.03%,0.00,7t 12- 2 out tie,8t 3 out d1,,CHC,2.727272727272727,L,3,4
521,37,2000-05-11,CHC,MIL,8-8,,1,1.0,2,1,1,0,2,0,0,4.82,5,21,16,2,4,2,2,2,0,0,,1,1,0,0,0,5,1,0,0,0,0,0,.08,-0.008,.04,0.00%,-0.83,8t -2- 0 out d5,8t 3 out d7,,CHC,2.0,L,8,14
522,35,2000-05-13,TBD,TOR,6-6,,1,0.1,2,2,2,0,0,1,0,5.68,3,14,8,0,3,0,3,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,1.08,-0.272,.56,-0.08%,-2.74,6t 1-- 2 out d1,6t 3 out d4,,TBD,20.0,L,4,8
523,37,2000-05-15,TBD,TEX,8-GF(8),,1,1.0,1,0,0,0,1,0,0,5.40,3,12,7,0,1,1,1,0,0,0,,0,0,0,0,1,3,0,0,0,0,0,0,.59,0.040,.22,0.01%,0.60,8b --- 0 out d1,8b end d 1,,TEX,1.0,L,5,6
