Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,91,2014-07-10,LAA,TEX,9-GF,,99,1.0,4,2,2,0,1,0,1,18.00,8,21,14,5,1,4,2,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.01,0.000,.01,0.00%,-1.52,9b --- 0 out a11,9b end a 9,,TEX,4.0,W,15,6,,
2,154,2014-09-19,LAA,TEX,6-GF,,70,4.0,3,2,2,1,5,0,0,7.20,16,56,36,10,10,4,6,2,2,0,,0,0,0,0,0,15,1,0,0,0,0,0,.01,0.001,.00,0.00%,-0.24,6t --- 0 out d8,9t end d 9,,LAA,1.0,L,3,12,,
3,157,2014-09-22,LAA,OAK,2-4,,2,2.1,2,0,0,1,2,0,0,4.91,10,49,31,14,1,2,5,4,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.17,0.014,.00,0.00%,0.50,2b --- 0 out d5,4b 12- 1 out d5,,OAK,1.4285714285714286,L,4,8,,
4,5,2015-04-11,LAA,KCR,5-7,,99,2.0,3,0,0,0,2,0,0,0.00,8,33,21,5,2,1,5,3,2,0,,2,1,0,1,0,8,0,0,0,0,0,0,.61,0.042,.59,0.02%,0.82,5t 1-3 1 out d4,7t --- 1 out d2,,LAA,1.5,L,4,6,,
5,8,2015-04-14,LAA,TEX,GS-3,L(0-1),2,2.2,6,4,4,4,0,0,0,7.71,16,77,42,16,3,7,5,4,1,0,26,,,3,0,0,12,2,0,0,1,0,0,.85,-0.259,.92,-0.17%,-2.97,1b start tie,3b 1-3 2 out d4,,TEX,4.545454545454545,L,2,8,,
6,104,2015-08-02,LAA,LAD,10-GF(10),L(0-2),99,0.1,1,2,2,1,1,1,0,10.80,3,11,6,3,2,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.25,-0.375,3.77,-0.38%,-1.79,10b --- 0 out tie,10b end d 2,,LAD,20.0,L,3,5,,
7,126,2015-08-26,LAA,DET,7-GF(8),,23,2.0,0,0,0,1,1,0,1,7.71,8,33,20,5,2,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.004,.04,0.00%,0.96,7b --- 0 out d5,8b end d 5,,DET,0.5,L,0,5,,
8,28,2017-05-06,MIN,BOS,2-5,,99,3.1,5,2,2,1,5,1,0,5.40,15,57,37,9,6,4,5,3,0,0,,1,1,0,0,0,14,1,0,0,1,0,0,.12,-0.037,.15,-0.03%,-1.04,2t --3 2 out d6,5t 3 out d8,,MIN,1.9354838709677418,L,1,11,,
9,47,2017-05-29,MIN,HOU,9-GF,,22,1.0,5,3,3,1,0,1,0,10.38,8,31,19,5,2,4,3,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.01,-0.006,.01,-0.01%,-2.47,9t --- 0 out d5,9t end d 8,,MIN,6.0,L,8,16,,
10,59,2018-06-03,MIA,ARI,8-GF(8),,99,0.1,0,0,0,0,0,0,0,0.00,1,2,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.02,0.001,.00,0.00%,0.37,8b --3 2 out d6,8b end d 6,,ARI,0.0,L,1,6,0.75,1.00
11,61,2018-06-06,MIA,STL,5-7,W(1-0),2,2.1,2,1,1,0,2,0,0,3.38,9,39,27,5,3,3,4,0,0,0,,2,0,0,0,0,9,1,0,0,0,0,0,.43,0.084,.02,0.00%,0.60,5b 12- 1 out a4,7b 1-- 2 out a7,,STL,0.9523809523809523,W,11,3,10.05,22.00
12,64,2018-06-09,MIA,SDP,8-GF,L(1-1),2,2.0,2,1,1,2,1,0,0,3.86,10,29,18,6,2,0,7,2,0,0,,0,0,0,0,0,8,1,0,1,0,0,0,2.01,-0.182,.15,-0.01%,-0.09,8t --- 0 out tie,9t end d 1,,MIA,2.0,L,4,5,2.10,6.00
