,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,67,2011-06-14,WAS,STL,5-6,,99,1.1,0,0,0,1,2,0,0,0.0,5,21,13,6,2,0,2,2,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,0.16,0.018000000000000002,0.08,0.01%,1.03,5t -23 2 out d5,6t 3 out d5,,WSN,0.9090909090909092,W,8,6
1,2,70,2011-06-17,WAS,BAL,9-GF,,2,1.0,1,0,0,0,0,0,0,0.0,4,18,13,4,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.16,0.013000000000000001,0.1,0.01%,0.46,9t --- 0 out a4,9t end a 4,,WSN,1.0,W,8,4
2,3,73,2011-06-21,WAS,SEA,5-6,,3,2.0,0,0,0,0,1,0,0,0.0,6,25,18,6,4,3,2,0,2,0,,1,0,0,0,0,6,0,0,0,0,0,0,0.17,0.023,0.13,0.01%,1.29,5t 1-- 0 out d5,6t 3 out d5,,WSN,0.0,W,6,5
3,4,76,2011-06-24,WAS,CHW,11-11,,2,1.0,1,0,0,0,0,0,0,0.0,4,16,10,3,0,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.98,0.14400000000000002,1.87,0.08%,0.53,11b --- 0 out tie,11b 3 out tie,,CHW,1.0,W,9,5
4,5,77,2011-06-25,WAS,CHW,8-GF(8),,0,0.2,0,0,0,0,0,0,0,0.0,1,6,3,1,1,0,1,0,0,0,,3,0,0,1,0,1,0,0,0,0,0,0,0.28,0.019,0.28,0.01%,1.61,8b 123 1 out d3,8b end d 3,,CHW,0.0,L,0,3
5,6,79,2011-06-27,WAS,LAA,6-7,,1,1.0,1,0,0,2,0,0,0,0.0,6,30,16,4,1,1,3,1,0,0,,2,0,1,0,0,4,0,0,0,0,0,0,1.25,0.05,1.28,0.03%,0.52,6b 1-3 2 out d1,7b 12- 2 out d1,,LAA,3.0,L,3,4
6,7,80,2011-06-28,WAS,LAA,8-GF(8),,0,0.2,2,2,2,0,0,1,0,2.35,5,21,12,2,2,2,3,1,0,0,,2,2,0,0,0,5,1,0,0,0,0,1,0.1,-0.045,0.1,-0.03%,-3.13,8b 12- 1 out d2,8b end d 6,,LAA,10.0,L,5,11
7,8,83,2011-07-02,WAS,PIT,9-GF,,3,0.2,0,0,0,0,2,0,0,2.16,2,13,7,2,2,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,0.23,0.011000000000000001,0.18,0.01%,0.86,9t 12- 1 out d3,9t end d 3,1.0,WSN,0.0,L,3,5
8,9,84,2011-07-02,WAS,PIT,8-8,W(1-0),-1,1.0,2,0,0,0,1,0,0,1.93,5,24,16,1,3,2,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.86,0.047,0.58,0.02%,0.46,8t --- 0 out d1,8t 3 out d1,2.0,WSN,2.0,W,4,3
9,10,86,2011-07-04,WAS,CHC,7-7,,1,1.0,0,0,0,0,0,0,0,1.74,3,13,9,3,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.69,0.051,0.44,0.02%,0.46,7t --- 0 out d1,7t 3 out d1,,WSN,0.0,W,5,4
10,11,88,2011-07-06,WAS,CHC,7-7,W(2-0),1,1.0,0,0,0,1,0,0,0,1.59,3,9,2,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.07,0.084,1.35,0.03%,0.46,7t --- 0 out tie,7t 3 out tie,,WSN,1.0,W,5,4
