Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,99,2013-07-20,BOS,NYY,9-GF,,99,1.0,0,0,0,0,0,0,0,0.00,2,9,5,1,2,0,2,1,1,0,,2,1,1,1,0,1,0,0,0,0,1,0,.41,-0.006,.62,-0.01%,0.49,9t 12- 0 out d2,9t end d 3,,BOS,0.0,L,2,5
2,100,2013-07-21,BOS,NYY,10-10,,0,1.0,1,0,0,1,0,0,0,0.00,4,15,7,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,3.36,0.137,5.43,0.13%,0.50,10t --- 0 out tie,10t 3 out tie,,BOS,2.0,W,8,7
3,103,2013-07-24,BOS,TBR,9-GF,,2,1.0,1,0,0,0,0,0,0,0.00,4,12,6,1,1,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.004,.10,0.00%,0.50,9t --- 0 out d4,9t end d 4,,BOS,1.0,L,1,5
4,104,2013-07-26,BOS,BAL,7-8,,1,1.0,0,0,0,0,2,0,0,0.00,3,13,8,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.06,0.00%,0.50,7b --- 1 out d5,8b --- 1 out d5,,BAL,0.0,L,0,6
5,107,2013-07-29,BOS,TBR,7-8,,2,2.0,0,0,0,0,2,0,0,0.00,5,21,13,4,1,2,1,0,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,.97,0.144,2.05,0.18%,1.38,7t 1-- 0 out d1,8t 3 out d1,,BOS,0.0,L,1,2
6,109,2013-07-31,BOS,SEA,14-GF(15),W(1-0),1,2.0,3,0,0,0,2,0,0,0.00,8,35,26,7,4,2,4,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.66,0.274,3.91,0.24%,1.00,14t --- 0 out tie,15t end tie,,BOS,1.5,W,5,4
7,113,2013-08-04,BOS,ARI,8-8,,3,1.0,1,0,0,0,1,0,0,0.00,4,13,10,2,1,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.92,0.046,1.39,0.04%,0.88,8t 1-- 0 out a4,8t 3 out a4,,BOS,1.0,W,4,0
8,115,2013-08-06,BOS,HOU,6-8,H(1),1,2.1,1,1,1,0,3,1,0,0.79,8,29,20,7,5,1,4,1,0,0,,2,0,0,0,0,8,0,0,0,0,0,0,.29,0.058,.43,0.05%,0.55,6b -23 2 out a4,8b 3 out a5,,HOU,0.47619047619047616,W,15,10
9,118,2013-08-09,BOS,KCR,6-6,BL(1-1),2,0.2,1,2,2,1,0,0,0,2.25,4,17,9,4,2,1,2,1,1,0,,2,2,0,0,0,2,0,0,0,0,1,0,3.78,-0.323,5.51,-0.28%,-1.83,6b 12- 0 out a2,6b -2- 2 out d1,,KCR,10.0,L,6,9
10,120,2013-08-11,BOS,KCR,8-GF(8),,1,1.0,2,0,0,2,1,0,0,2.08,6,26,11,5,2,2,1,0,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,.93,0.031,1.29,0.03%,0.50,8b --- 0 out d1,8b end d 1,,KCR,4.0,L,3,4
