,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,96,2011-07-20,,NYY,8-9,,99,1.0,0,2,2,2,1,0,0,18.0,4,19,7,1,2,1,0,0,0,0,,1,0,0,1,0,2,0,0,0,0,0,0,0.36,0.016,0.56,0.02%,0.09,8t 1-- 1 out d2,9t 12- 1 out d2,,TBR,2.0,L,0,4
1,2,145,2011-09-11,,BOS,9-GF,,52,0.2,0,0,0,0,1,0,0,10.8,2,9,5,3,1,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.49,9t 1-- 1 out a8,9t end a 8,,TBR,0.0,W,9,1
2,3,148,2011-09-14,,BAL,8-GF(8),,2,0.1,0,0,0,0,0,0,0,9.0,1,3,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.09,0.002,0.1,0.00%,0.33,8b -2- 2 out d4,8b end d 4,,BAL,0.0,L,2,6
3,4,153,2011-09-20,,NYY,6-7,,5,1.2,2,0,0,1,3,0,0,4.91,8,30,20,5,6,1,3,2,0,0,,2,0,0,0,0,7,1,0,0,0,0,0,0.12,0.013999999999999999,0.34,0.02%,1.48,6b 12- 1 out d5,7b 3 out d5,,NYY,2.5,L,0,5
4,5,156,2011-09-22,,NYY,6-7,,1,1.1,8,6,6,0,2,1,0,14.4,12,36,29,6,5,5,5,4,0,0,,0,0,0,0,0,12,0,0,0,0,0,0,0.02,-0.003,0.04,0.00%,-3.88,6b --- 0 out a13,7b 12- 1 out a9,,NYY,7.272727272727272,W,15,8
5,6,157,2011-09-23,,TOR,8-8,,0,1.0,0,0,0,0,0,0,0,12.0,3,15,10,1,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.13,0.01%,0.47,8t --- 0 out d5,8t 3 out d5,,TBR,0.0,L,1,5
6,7,162,2011-09-28,,NYY,7-8,,4,1.1,0,0,0,0,1,0,0,9.82,4,17,10,3,3,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.12,0.01%,0.56,7t --- 2 out d7,8t 3 out d7,,TBR,0.0,W,8,7
7,8,8,2012-04-14,,BOS,8-GF(8),,99,1.0,4,5,5,2,0,1,0,45.0,8,35,21,7,0,3,3,1,0,0,,0,0,0,0,0,6,2,0,0,1,0,0,0.2,-0.027000000000000003,0.23,-0.02%,-4.48,8b --- 0 out d3,8b end d 8,,BOS,6.0,L,5,13
8,9,141,2012-09-11,,BAL,8-GF(8),,99,1.0,2,2,2,0,1,1,0,31.5,5,21,13,4,1,1,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.02,-0.004,0.05,-0.01%,-1.49,8b --- 0 out d5,8b end d 7,,BAL,2.0,L,2,9
9,10,147,2012-09-17,,BOS,9-GF,,5,1.0,1,0,0,0,1,0,0,21.0,3,17,11,3,1,2,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,0.05,0.003,0.04,0.00%,0.47,9t --- 0 out d4,9t end d 4,,TBR,1.0,L,2,5
