,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,75,2012-06-26,SDN,HOU,6-7,,99,2.0,0,0,0,1,2,0,0,0.0,7,26,16,5,4,0,4,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.11,0.013999999999999999,0.0,0.00%,0.95,6b --- 0 out d4,7b 3 out d4,,HOU,0.5,L,3,5,,
1,2,77,2012-06-28,SDN,HOU,8-8,W(1-0),1,1.0,1,1,1,1,1,0,0,3.0,5,25,13,1,3,1,2,0,1,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.47,-0.057999999999999996,0.01,0.00%,-0.53,8b --- 0 out d1,8b 3 out d2,,HOU,2.0,W,7,3,,
2,3,82,2012-07-03,SDN,ARI,5-6,,4,1.2,3,1,1,0,2,1,0,3.86,8,29,18,3,3,3,3,0,0,0,,3.0,3.0,0,0,0,8,0,0,0,0,0,0,0.48,-0.009000000000000001,0.02,0.00%,-1.95,5b 123 1 out a8,6b 3 out a4,,ARI,2.5,W,9,5,,
3,4,83,2012-07-04,SDN,ARI,9-9,,0,0.0,2,2,2,0,0,0,0,7.71,2,8,6,1,0,1,1,1,0,0,,0.0,0.0,0,0,0,2,1,0,0,0,0,0,0.67,-0.075,0.05,0.00%,-1.62,9b --- 0 out a4,9b -2- 0 out a3,,ARI,inf,W,8,6,,
4,5,91,2012-07-16,SDN,HOU,5-6,,11,1.2,0,0,0,1,2,0,0,5.68,6,36,22,3,6,2,1,0,0,0,,3.0,0.0,0,0,0,4,0,0,0,0,0,0,1.18,0.133,0.05,0.00%,1.92,5t 123 1 out d2,6t 3 out d2,,SDP,0.8333333333333334,L,0,2,,
5,6,93,2012-07-18,SDN,HOU,9-9,,1,0.1,0,0,0,1,0,0,0,5.4,2,11,7,1,1,0,1,0,1,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.27,0.002,0.02,0.00%,0.07,9t 1-- 1 out a4,9t 12- 2 out a4,,SDP,10.0,W,8,4,,
6,7,96,2012-07-21,SDN,COL,5-6,,2,1.1,2,0,0,0,1,0,0,4.5,6,25,15,1,2,2,3,2,0,0,,1.0,1.0,0,0,0,6,1,0,0,0,0,0,1.02,-0.032,0.07,0.00%,-0.37,5t 1-- 2 out d2,6t 3 out d1,,SDP,1.818181818181818,L,6,8,,
7,8,122,2012-08-18,SDN,SFG,7-8,,27,1.1,0,0,0,0,1,0,0,3.86,4,20,12,3,1,0,3,0,2,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,0.48,0.047,0.0,0.00%,0.83,7t 12- 2 out d2,8t 3 out d2,,SDP,0.0,L,7,8,,
8,9,125,2012-08-21,SDN,PIT,6-6,,2,0.2,1,0,0,1,1,0,0,3.6,4,16,10,2,3,1,1,1,0,0,,2.0,1.0,0,0,0,3,1,0,0,0,0,0,2.43,-0.07400000000000001,0.0,0.00%,-0.16,6t 12- 1 out tie,6t 3 out d1,,SDP,10.0,W,7,5,,
9,10,127,2012-08-24,SDN,ARI,8-8,,2,1.0,1,0,0,0,1,0,0,3.27,4,17,9,2,1,1,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.19,0.013999999999999999,0.0,0.00%,0.49,8b --- 0 out a5,8b 3 out a5,,ARI,1.0,W,5,0,,
