Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,77,2002-06-28,CHC,CHW,8-GF(8),,99,0.1,0,0,0,2,0,0,0,0.00,3,14,5,4,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.06,0.003,.01,0.00%,0.34,8b -2- 2 out d4,8b end d 4,,CHW,20.0,L,9,13
2,80,2002-07-01,CHC,FLA,8-8,,2,0.2,1,1,1,3,1,0,0,9.00,6,33,16,6,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,-1.28,8b --- 0 out d9,8b 123 2 out d10,,FLA,20.0,L,1,11
3,120,2002-08-16,CHC,ARI,9-GF,,45,0.1,1,0,0,1,0,0,0,6.75,3,10,4,0,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.31,0.004,.00,0.00%,0.10,9t --- 2 out d2,9t end d 2,,CHC,20.0,L,1,2
4,125,2002-08-22,CHC,HOU,1-3,,5,2.2,2,0,0,1,3,0,0,2.25,11,40,27,8,6,4,3,3,0,0,,1,0,0,0,0,8,1,0,0,0,0,0,.21,0.028,.00,0.00%,1.60,1b 1-- 1 out d6,3b 3 out d6,,HOU,1.3636363636363635,L,1,9
5,132,2002-08-29,CHC,MIL,9-9,,6,0.0,1,4,4,3,0,0,0,11.25,4,23,9,7,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.05,-0.007,.00,0.00%,-2.83,9b --- 0 out a9,9b 123 0 out a8,,MIL,inf,W,13,10
6,134,2002-08-31,CHC,STL,8-GF,,1,2.0,2,4,4,3,3,2,0,13.50,11,53,32,5,8,3,2,0,0,0,,0,0,0,0,0,7,0,0,1,0,0,0,.09,-0.039,.00,0.00%,-3.03,8t --- 0 out d3,9t end d 7,1,CHC,2.5,L,1,8
7,141,2002-09-06,CHC,STL,8-GF(8),,5,1.0,1,0,0,0,0,0,0,11.57,4,13,8,0,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.49,8b --- 0 out d11,8b end d11,,STL,1.0,L,2,11
8,147,2002-09-12,CHC,CIN,7-7,,5,1.0,2,2,1,1,0,0,0,11.25,5,11,5,0,0,2,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,1,0,1.59,-0.274,.00,0.00%,-1.48,7b --- 0 out tie,7b 3 out d2,,CIN,3.0,L,12,15
9,156,2002-09-22,CHC,PIT,6-6,,9,1.0,1,0,0,0,0,0,0,10.00,4,15,10,2,1,2,2,1,0,0,,0,0,2,0,0,4,0,0,0,0,0,0,1.14,0.048,.00,0.00%,0.51,6b --- 0 out d1,6b 3 out d1,,PIT,1.0,L,4,5
10,158,2002-09-25,CHC,CIN,7-8,,2,2.0,1,0,0,2,3,0,0,8.18,9,33,21,3,7,2,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.05,0.005,.00,0.00%,0.97,7t --- 0 out d6,8t 3 out d6,,CHC,1.5,L,2,8
11,160,2002-09-27,CHC,PIT,6-6,,1,1.0,2,0,0,0,1,0,0,7.50,5,18,12,4,3,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.49,6t --- 0 out d9,6t 3 out d9,,CHC,2.0,L,3,13
