Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,149,2005-09-18,PIT,CIN,3-4,,99,1.1,1,2,2,1,1,0,1,13.50,7,30,17,6,2,2,2,0,0,0,,3,0,0,0,0,4,1,0,0,0,1,0,1.88,-0.114,.00,0.00%,-0.73,3t 123 2 out a1,4t 3 out d1,,PIT,1.8181818181818181,W,9,7
2,140,2007-09-06,PIT,STL,GS-3,L(0-1),99,3.0,7,5,5,2,1,1,0,15.00,17,63,41,7,4,10,4,3,0,0,24,,,0,0,0,14,0,0,0,1,0,0,.92,-0.363,.00,0.00%,-3.44,1b start tie,3b 3 out d3,,STL,3.0,L,4,16
3,145,2007-09-11,PIT,MIL,GS-6,L(0-2),4,5.0,7,3,3,1,2,1,0,9.00,21,67,43,12,4,7,11,7,0,0,42,,,1,0,0,20,2,0,0,1,0,0,1.03,-0.084,.00,0.00%,-0.84,1t start tie,6t 1-- 0 out d3,,PIT,1.6,L,1,6
4,149,2007-09-16,PIT,HOU,5-7,,4,3.0,3,0,0,1,1,0,0,6.55,12,35,23,5,4,4,6,2,1,0,,0,0,0,0,0,11,0,0,0,1,0,1,.00,0.000,.00,0.00%,1.58,5b --- 0 out d11,7b 3 out d10,,HOU,1.3333333333333333,L,3,15
5,154,2007-09-21,PIT,CHC,7-7,,4,1.0,2,1,0,0,0,0,0,6.00,5,14,10,2,1,1,4,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.08,-0.006,.00,0.00%,-0.45,7b --- 0 out d5,7b 3 out d6,,CHC,2.0,L,8,13
6,162,2007-09-30,PIT,STL,GS-5,L(0-3),8,5.0,5,2,2,1,3,1,0,5.29,21,78,56,15,5,11,6,2,1,0,51,,,1,0,0,20,1,0,0,0,0,0,.86,0.012,.00,0.00%,0.55,1t start tie,5t 3 out d2,,PIT,1.2,L,5,6
7,148,2008-09-13,CLE,KCR,GS-5,L(0-1),99,4.2,8,6,6,1,4,3,1,11.57,23,81,53,11,13,8,9,4,2,0,27,,,1,0,0,21,0,1,0,0,0,0,.94,-0.315,.00,0.00%,-3.50,1t start tie,5t --- 2 out d5,2,CLE,2.142857142857143,L,4,8
8,158,2008-09-24,CLE,BOS,2-6,,10,5.0,2,0,0,0,6,0,0,5.59,16,60,42,12,7,6,4,2,0,0,,0,0,0,0,0,16,0,0,0,1,0,0,.76,0.280,.00,0.00%,2.86,2b --- 0 out d3,6b 3 out tie,,BOS,0.4,L,4,5
9,162,2008-09-28,CLE,CHW,GS-5,L(0-2),3,5.0,5,3,2,1,2,1,0,4.91,21,81,56,10,8,10,8,2,1,0,48,,,1,0,0,19,1,0,0,1,1,1,.88,-0.091,.00,0.00%,-0.23,1b start tie,5b 3 out d2,,CHW,1.2,L,1,5
10,18,2009-04-24,TOR,CHW,9-GF,,99,1.0,2,0,0,1,2,0,0,0.00,6,25,15,5,3,0,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.57,9b --- 0 out a14,9b end a14,,CHW,3.0,W,14,0
11,19,2009-04-25,TOR,CHW,8-GF(8),,0,1.0,2,0,0,1,3,0,0,0.00,6,23,13,5,5,0,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.57,8b --- 0 out d8,8b end d 8,,CHW,3.0,L,2,10
12,21,2009-04-27,TOR,KCR,8-GF(8),,1,1.0,0,0,0,1,0,0,0,0.00,4,11,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.53,8b --- 0 out d6,8b end d 6,,KCR,1.0,L,1,7
13,24,2009-04-30,TOR,KCR,3-5,,2,3.0,3,2,2,3,0,0,0,3.00,15,58,31,6,1,1,11,4,2,0,,2,2,0,0,0,10,1,1,1,0,1,0,.49,-0.052,.65,-0.04%,-1.07,3b 1-3 0 out d2,5b 3 out d6,,KCR,2.0,L,6,8
14,40,2010-05-18,KCR,BAL,10-GF(10),L(0-1),99,0.1,2,1,1,1,0,0,0,27.00,5,14,7,2,1,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,3.38,-0.364,1.31,-0.09%,-2.07,10b --- 0 out tie,10b end d 1,,BAL,30.0,L,3,4
