Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,36,2013-05-11,SDP,TBR,GS-2,,99,1.0,5,6,6,2,2,1,0,54.00,10,42,26,10,1,1,5,5,0,0,19,,,0,0,0,8,1,0,0,0,0,0,1.24,-0.525,.87,-0.22%,-6.00,1b start a 2,2b -23 0 out d3,,TBR,7.0,L,7,8,,
2,41,2013-05-17,SDP,WSN,GS-6,,5,5.1,6,5,5,1,8,3,0,15.63,23,84,64,18,16,2,12,4,2,0,43,,,0,0,0,21,0,0,0,0,0,0,.93,-0.382,.66,-0.16%,-2.79,1t start tie,6t --- 1 out d3,,SDP,1.3725490196078431,L,5,6,,
3,46,2013-05-22,SDP,STL,GS-2,L(0-1),4,1.0,5,4,4,3,1,0,0,18.41,11,42,26,6,9,1,6,4,0,0,25,,,0,0,0,8,1,1,1,0,0,0,1.05,-0.343,.81,-0.16%,-3.92,1t start tie,2t 1-3 0 out d3,,SDP,8.0,L,3,5,,
4,80,2013-06-28,SDP,MIA,8-GF,,36,2.0,1,0,0,1,1,0,0,14.46,8,30,19,5,5,2,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.06,0.004,.06,0.00%,0.90,8b --- 0 out a7,9b end a 7,,MIA,1.0,W,9,2,,
5,83,2013-07-01,SDP,MIA,8-GF(8),,2,1.0,1,0,0,0,1,0,0,13.06,4,12,10,2,2,2,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.05,0.002,.05,0.00%,0.45,8b --- 0 out d4,8b end d 4,,MIA,1.0,L,0,4,,
6,86,2013-07-04,SDP,BOS,6-GF(8),,2,2.1,3,1,1,0,2,1,0,11.37,10,36,25,5,3,2,6,0,1,0,,2,0,0,0,0,10,2,0,0,0,0,0,.06,0.006,.05,0.00%,0.50,6b 1-3 2 out d5,8b end d 6,,BOS,1.4285714285714286,L,2,8,,
7,140,2013-09-06,SDP,COL,GS-5,,63,5.0,4,2,2,4,7,0,0,9.17,23,96,60,16,10,5,7,4,0,0,54,,,1,0,0,19,3,0,0,0,0,0,1.12,-0.014,.00,0.00%,0.02,1t start tie,5t 3 out d1,,SDP,1.6,W,4,3,,
8,148,2013-09-15,SDP,ATL,GS-7,W(1-1),8,7.0,3,0,0,2,10,0,0,6.57,26,95,61,17,14,6,8,1,2,0,79,,,0,0,0,24,0,0,0,0,0,0,1.04,0.345,.00,0.00%,3.13,1b start tie,7b 3 out a4,,ATL,0.7142857142857143,W,4,0,,
9,154,2013-09-21,SDP,LAD,GS-6,L(1-2),5,6.0,3,2,2,5,6,1,0,5.87,26,98,58,16,13,4,11,5,2,0,59,,,1,1,0,21,1,0,0,0,0,1,1.02,-0.031,.00,0.00%,0.42,1t start tie,6t 3 out d2,,SDP,1.3333333333333333,L,0,4,,
10,160,2013-09-27,SDP,SFG,GS-6,L(1-3),5,5.2,8,6,6,3,8,3,0,6.44,26,106,61,20,12,2,13,7,1,0,34,,,0,0,1,23,0,1,0,0,0,0,.60,-0.424,.00,0.00%,-2.97,1b start a 1,6b 1-3 2 out d3,,SFG,2.1153846153846154,L,3,7,,
11,1,2018-03-29,KCR,CHW,7-7,,99,0.0,1,1,1,2,0,0,0,inf,3,15,4,2,1,1,0,0,0,0,,2,2,0,0,0,1,0,0,0,0,0,0,.37,-0.048,.37,-0.03%,-2.83,7t -23 2 out d4,7t 12- 2 out d7,,KCR,inf,L,7,14,-3.80,-3.00
12,9,2018-04-10,KCR,SEA,9-GF,,11,1.0,0,0,0,1,1,0,0,9.00,4,17,9,5,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.02,0.00%,0.51,9t --- 0 out d5,9t end d 5,,KCR,1.0,L,3,8,3.65,6.00
13,11,2018-04-12,KCR,LAA,9-GF,,1,0.1,0,0,0,0,0,0,0,6.75,1,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.01,0.000,.01,0.00%,0.23,9t 1-- 2 out d6,9t end d 6,,KCR,0.0,L,1,7,0.75,1.00
14,13,2018-04-14,KCR,LAA,8-GF,,1,2.0,1,0,0,0,3,0,0,2.70,7,31,23,5,5,2,2,0,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.30,0.034,.20,0.01%,1.02,8t --- 0 out d3,9t end d 2,,KCR,0.5,L,3,5,9.90,15.00
15,14,2018-04-17,KCR,TOR,6-GF(8),,2,2.2,1,0,0,1,4,0,1,1.50,11,50,32,8,5,2,3,1,1,0,,3,3,0,0,0,8,1,0,0,0,1,0,.04,-0.012,.03,-0.01%,-0.42,6b 123 1 out d5,8b end d 8,1,TOR,0.9090909090909091,L,3,11,12.20,20.00
16,19,2018-04-21,KCR,DET,7-GF(8),,3,1.2,2,2,2,2,1,0,0,3.52,8,32,18,4,2,3,2,1,0,0,,2,1,0,0,0,5,0,0,0,1,1,0,.01,-0.002,.01,0.00%,-1.04,7b -23 1 out d5,8b end d 8,,DET,3.3333333333333335,L,4,12,-0.65,2.00
