,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,139,2008-09-02,NYN,MIL,GS-4,,99,3.0,7,5,5,4,2,1,0,15.0,20,73,39,11,4,4,10,3,2,0,23.0,,,0,0,0,15,2,0,0,0,0,0,1.33,-0.37200000000000005,2.82,-0.47%,-3.49,1b start tie,4b 12- 0 out a1,,MIL,3.6666666666666665,W,6,5
1,2,147,2008-09-13,NYN,ATL,GS-8,W(1-0),10,8.0,6,0,0,2,7,0,0,4.09,31,116,75,27,6,12,10,3,2,0,75.0,,,0,0,0,29,2,0,0,1,0,0,0.69,0.266,1.37,0.32%,4.0,1t start tie,8t 3 out a5,2.0,NYM,1.0,W,5,0
2,3,156,2008-09-22,NYN,CHC,GS-4,L(1-1),8,3.0,7,6,6,2,2,1,0,7.07,18,78,46,13,3,9,5,3,1,0,21.0,,,0,0,0,16,2,0,0,0,0,0,1.11,-0.46299999999999997,3.71,-0.93%,-4.5,1t start tie,4t --- 0 out d4,,NYM,3.0,L,5,9
3,4,28,2009-05-08,NYN,PIT,GS-6,,99,6.0,7,2,2,0,5,0,0,3.0,25,95,67,10,6,10,10,5,0,0,55.0,,,1,1,0,24,1,0,0,0,0,1,1.22,0.128,1.3,0.08%,0.9,1t start tie,6t 3 out tie,,NYM,1.1666666666666667,W,7,3
4,5,33,2009-05-13,NYN,ATL,GS-5,,4,4.2,7,5,5,2,5,0,0,5.91,22,73,48,10,12,8,7,3,0,0,33.0,,,0,0,0,19,4,0,0,1,1,0,0.99,-0.344,1.44,-0.30%,-2.9,1t start tie,5t -2- 2 out a1,,NYM,2.142857142857143,L,7,8
5,6,96,2009-07-25,NYN,HOU,GS-7,W(1-0),72,7.0,4,1,1,2,3,0,0,4.08,25,106,70,22,4,12,8,4,1,0,66.0,,,0,0,0,23,0,0,0,2,0,0,0.66,0.14400000000000002,0.18,0.02%,2.41,1b start a 3,7b 3 out a8,,HOU,0.8571428571428571,W,10,3
6,7,101,2009-07-30,NYN,COL,GS-7,L(1-1),4,6.1,8,4,4,4,3,1,0,4.5,30,100,65,21,7,8,15,8,1,0,40.0,,,0,1,1,25,3,0,0,0,0,0,1.31,-0.138,0.84,-0.05%,-0.13,1t start tie,7t 1-- 1 out d2,2.0,NYM,1.9672131147540983,L,2,4
7,8,107,2009-08-05,NYN,STL,GS-2,,5,1.2,1,0,0,1,2,0,0,4.21,8,28,18,5,2,3,2,0,1,0,54.0,,,0,0,0,7,1,0,0,0,0,1,1.11,0.046,0.25,0.01%,0.48,1t start tie,2t 1-3 2 out a2,,NYM,1.6666666666666667,W,9,0
8,9,3,2010-04-08,NYN,FLA,GS-6,L(0-1),99,6.0,8,3,3,2,3,0,0,4.5,28,92,63,13,9,11,12,5,0,0,45.0,,,0,0,0,26,4,0,0,0,0,0,1.09,-0.10300000000000001,1.09,-0.06%,-0.16,1t start tie,6t 3 out d2,,NYM,1.6666666666666667,L,1,3
9,10,8,2010-04-14,NYN,COL,GS-5,,5,5.0,9,5,5,1,2,1,2,6.55,26,99,61,18,7,8,13,7,2,0,30.0,,,0,0,0,23,3,0,0,1,0,0,1.01,-0.29600000000000004,0.74,-0.13%,-2.19,1b start tie,5b 3 out d2,,COL,2.0,L,5,6
