,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,117,2016-08-13,SLN,CHC,GS-4,,99,4.0,4,2,2,3,3,1,0,4.5,18,85,50,12,7,7,5,2,0,0,46.0,,,0,0,0,15,1,0,0,1,0,0,0.79,-0.048,0.74,-0.03%,0.0,1b start tie,4b 3 out d2,,CHC,1.75,W,8,4,,
1,2,122,2016-08-20,SLN,PHI,GS-5,L(0-1),6,5.0,9,3,3,0,6,1,0,5.0,23,96,65,14,12,3,14,10,2,0,43.0,,,0,0,0,23,2,0,0,1,0,0,0.98,-0.107,1.09,-0.07%,-0.55,1b start tie,5b 3 out d1,,PHI,1.8,L,2,4,,
2,3,127,2016-08-26,SLN,OAK,GS-6,W(1-1),5,6.0,4,1,1,2,7,1,0,3.6,24,95,59,21,3,9,6,4,0,0,65.0,,,0,0,0,21,1,0,0,0,0,0,1.09,0.267,1.3,0.19%,1.91,1t start tie,6t 3 out a1,,STL,1.0,W,3,1,,
3,4,132,2016-08-31,SLN,MIL,GS-6,L(1-2),4,6.0,4,3,3,2,10,1,0,3.86,24,94,59,18,11,2,10,4,2,0,60.0,,,0,0,0,22,2,0,0,0,0,0,0.73,-0.065,0.83,-0.05%,0.03,1b start tie,6b 3 out d2,,MIL,1.0,L,1,3,,
4,5,137,2016-09-06,SLN,PIT,GS-4,,5,4.0,6,2,2,0,5,1,0,3.96,18,83,56,14,11,5,8,6,0,0,47.0,,,0,0,0,18,0,0,0,0,0,0,0.93,0.04,1.25,0.03%,-0.04,1b start a 4,4b 3 out a3,,PIT,1.5,W,9,7,,
5,6,142,2016-09-11,SLN,MIL,GS-6,,4,6.0,3,1,1,1,8,0,0,3.48,22,101,67,16,12,6,7,4,1,0,69.0,,,0,0,0,19,0,0,0,0,1,0,0.81,0.18899999999999997,1.1,0.15%,1.91,1t start tie,6t 3 out d1,,STL,0.6666666666666666,L,1,2,,
6,7,147,2016-09-16,SLN,SFG,GS-3,L(1-3),4,2.2,5,6,0,2,4,0,0,3.21,15,52,30,7,8,4,5,3,0,0,38.0,,,0,0,0,12,1,0,0,1,1,1,1.07,-0.311,2.15,-0.38%,-4.89,1b start tie,3b -2- 2 out d6,,SFG,3.1818181818181817,L,2,8,,
7,8,152,2016-09-21,SLN,COL,GS-2,L(1-4),4,2.0,7,6,6,1,1,1,0,4.54,14,41,28,7,3,3,9,7,0,0,18.0,,,0,0,0,12,0,0,0,0,1,0,1.3,-0.385,2.32,-0.41%,-4.85,1b start tie,2b 3 out d5,,COL,4.0,L,1,11,,
8,9,156,2016-09-26,SLN,CIN,4-5,,4,0.2,4,5,5,1,1,1,2,5.7,9,35,17,4,1,1,4,3,0,0,,1.0,1.0,0,0,0,6,1,0,0,0,0,0,0.04,-0.013999999999999999,0.1,-0.02%,-4.87,4t -2- 2 out d8,5t -2- 1 out d12,,STL,25.0,L,2,15,,
9,10,82,2017-07-03,SLN,MIA,6-6,,99,1.0,2,0,0,0,0,0,0,0.0,5,20,12,0,0,2,3,2,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.85,0.021,0.8,0.01%,0.51,6t --- 0 out a5,6t 3 out a5,,STL,2.0,W,14,6,,
10,11,84,2017-07-05,SLN,MIA,5-6,,1,2.0,1,0,0,1,2,0,0,0.0,7,34,19,7,2,1,3,1,0,0,,0.0,0.0,0,0,1,6,0,0,0,0,0,0,0.26,0.034,0.23,0.02%,1.01,5t --- 0 out d4,6t 3 out d4,,STL,1.0,L,6,9,,
11,12,102,2017-07-27,SLN,ARI,GS-5,L(0-1),21,5.0,5,4,4,2,5,1,0,4.5,21,88,55,15,9,7,7,2,1,0,44.0,,,0,1,0,19,1,0,0,0,0,0,0.83,-0.18600000000000003,0.8,-0.11%,-1.47,1t start tie,5t 3 out d4,,STL,1.4,L,0,4,,
12,13,107,2017-08-02,SLN,MIL,GS-7,W(1-1),5,6.1,5,2,2,2,8,1,0,3.77,27,107,70,19,14,11,6,4,0,0,61.0,,,0,0,0,24,2,0,0,0,0,1,1.09,0.175,0.99,0.10%,1.11,1b start tie,7b 1-- 1 out a3,,MIL,1.1475409836065575,W,5,4,,
13,14,121,2017-08-17,SLN,PIT,4-5,,14,2.0,1,0,0,2,1,0,0,3.31,7,28,17,3,3,2,2,1,1,0,,0.0,0.0,0,0,0,5,0,0,0,2,0,0,0.6,0.071,0.86,0.06%,1.0,4b --- 0 out d3,5b 3 out d1,,PIT,1.5,W,11,7,,
14,15,126,2017-08-23,SLN,SDP,GS-7,W(2-1),5,7.0,3,0,0,1,10,0,1,2.31,26,99,69,22,10,4,10,3,2,0,80.0,,,0,0,0,24,1,0,0,0,0,0,0.72,0.268,0.78,0.17%,3.55,1t start tie,7t 3 out a5,,STL,0.5714285714285714,W,6,2,,
15,16,131,2017-08-29,SLN,MIL,GS-6,W(3-1),5,5.2,8,2,2,1,10,1,0,2.48,26,111,75,24,15,11,4,3,0,0,54.0,,,0,0,0,25,0,0,0,1,0,1,0.44,0.079,0.45,0.05%,0.35,1b start tie,6b 123 2 out a7,,MIL,1.7307692307692306,W,10,2,,
