Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,1,2006-04-03,FLA,HOU,8-GF(8),,99,1.0,0,0,0,0,2,0,0,0.00,3,14,8,4,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.44,0.034,.41,0.02%,0.54,8b --- 0 out d1,8b end d 1,,HOU,0.0,L,0,1
2,3,2006-04-05,FLA,HOU,8-GF(8),,1,1.0,1,0,0,0,1,0,0,0.00,3,10,6,0,2,0,2,0,1,0,,0,0,0,1,0,3,0,0,0,0,0,0,.54,0.034,.52,0.02%,0.54,8b --- 0 out d1,8b end d 1,,HOU,1.0,L,5,6
3,5,2006-04-09,FLA,NYM,9-GF,L(0-1),3,0.1,1,1,1,1,0,0,0,3.86,3,11,7,3,0,0,2,1,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,2.54,-0.357,2.71,-0.23%,-1.02,9b --- 0 out tie,9b end d 1,,NYM,20.0,L,2,3
4,8,2006-04-13,FLA,SDP,8-8,,3,1.0,0,0,0,0,1,0,0,2.70,3,14,10,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.03,0.00%,0.51,8t --- 0 out a7,8t 3 out a7,,FLA,0.0,W,9,2
5,9,2006-04-14,FLA,WSN,6-7,H(1),0,1.1,1,0,0,2,3,0,0,1.93,7,32,20,8,3,1,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,2.02,0.135,1.73,0.07%,0.75,6t 1-- 2 out a1,7t 3 out a1,,FLA,2.727272727272727,W,5,3
6,11,2006-04-16,FLA,WSN,7-8,,1,2.0,1,1,1,2,2,0,0,2.70,9,39,21,5,4,0,5,2,0,0,,0,0,1,0,0,6,0,0,0,0,1,0,1.99,-0.103,1.62,-0.05%,0.03,7t --- 0 out tie,8t 3 out d1,,FLA,1.5,L,5,7
7,54,2006-06-04,FLA,COL,8-8,H(2),48,0.1,1,0,0,0,0,0,0,2.57,2,7,5,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,2.24,-0.049,.33,0.00%,-0.16,8b --- 0 out a1,8b -2- 1 out a1,,COL,10.0,W,4,3
8,56,2006-06-06,FLA,SFG,8-GF(8),,1,1.0,1,0,0,0,0,0,0,2.25,4,16,10,3,0,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.68,0.034,.10,0.00%,0.54,8b --- 0 out d1,8b end d 1,,SFG,1.0,L,1,2
9,59,2006-06-10,FLA,SDP,8-8,H(3),3,0.1,0,0,0,0,1,0,0,2.16,1,6,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.74,0.121,.55,0.01%,0.43,8b 12- 2 out a1,8b 3 out a1,,SDP,0.0,W,2,1
10,64,2006-06-16,FLA,TOR,8-8,H(4),5,1.0,1,0,0,1,1,0,0,1.93,4,19,9,2,2,1,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,2.85,0.076,.60,0.01%,0.51,8t --- 0 out a2,8t 3 out a2,,FLA,2.0,W,3,1
11,66,2006-06-18,FLA,TOR,7-7,H(5),1,1.0,1,0,0,0,0,0,0,1.74,4,20,11,4,2,0,4,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.65,0.048,.23,0.01%,0.51,7t --- 0 out a3,7t 3 out a3,,FLA,1.0,W,4,1
12,69,2006-06-22,FLA,BAL,8-8,,3,0.0,1,0,0,0,0,0,0,1.74,1,1,1,0,0,0,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,.27,-0.016,.12,0.00%,-0.93,8b 1-3 2 out d3,8b 12- 2 out d4,,BAL,inf,W,8,5
13,110,2007-08-03,FLA,HOU,9-GF,,99,1.0,2,2,2,0,1,1,0,18.00,5,12,11,2,1,1,3,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.04,-0.012,.01,0.00%,-1.49,9t --- 0 out d4,9t end d 6,,FLA,2.0,L,2,8
14,113,2007-08-07,FLA,PHI,3-4,,3,1.2,2,2,2,1,1,2,0,13.50,8,27,14,1,1,0,6,1,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.16,-0.015,.02,0.00%,-0.73,3b -2- 1 out d5,4b 3 out d7,,PHI,2.5,L,1,11
15,33,2009-05-12,FLA,MIL,7-8,,99,1.2,2,1,1,1,1,1,1,5.40,9,41,24,7,2,2,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.19,-0.012,.22,-0.01%,-0.79,7b --- 0 out d2,8b 123 2 out d3,,MIL,2.5,L,3,6
16,37,2009-05-16,FLA,LAD,6-6,H(1),3,0.2,1,0,0,1,1,0,0,3.86,4,20,11,2,2,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.60,-0.001,1.49,0.00%,0.00,6t --- 0 out a2,6t 1-3 2 out a2,,FLA,10.0,W,6,3
