Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
60,2,2000-04-04,KCR,TOR,GS-6,L(0-1),99,5.0,5,5,5,2,2,2,2,9.00,25,81,44,10,6,8,11,4,0,0,37,,,2,0,0,21,2,0,0,0,0,1,1.01,-0.334,.98,-0.19%,-2.56,1b start tie,6b -2- 0 out d2,,TOR,1.4,L,3,6
61,7,2000-04-09,KCR,MIN,GS-5,L(0-2),4,4.2,6,6,5,1,3,2,0,9.31,21,70,39,8,5,6,11,3,0,0,32,,,0,0,0,20,2,0,0,0,0,0,.53,-0.259,.65,-0.19%,-3.29,1t start tie,5t -2- 2 out d6,,KCR,1.6666666666666665,L,7,13
62,12,2000-04-14,KCR,NYY,GS-4,L(0-3),4,3.2,7,5,5,4,7,1,0,10.13,22,101,57,21,8,5,6,5,0,0,30,,,3,0,0,18,2,0,0,0,0,0,1.06,-0.312,1.28,-0.23%,-3.29,1b start tie,4b -23 2 out d3,,NYY,3.4375,L,5,7
63,19,2000-04-22,KCR,SEA,GS-5,L(0-4),7,5.0,6,4,4,1,5,1,0,9.33,23,100,64,19,9,5,12,6,0,0,43,,,0,0,0,22,2,0,0,0,0,1,.76,-0.178,.70,-0.10%,-1.19,1b start tie,5b 3 out d3,,SEA,1.4,L,2,4
64,23,2000-04-28,KCR,SEA,GS-5,,5,4.0,5,2,2,5,2,0,0,8.46,20,100,59,23,3,7,6,4,0,0,41,,,0,0,0,15,0,0,0,2,0,0,1.24,-0.061,1.08,-0.03%,-0.57,1t start tie,5t 12- 0 out a1,,KCR,2.5,W,8,5
65,28,2000-05-03,KCR,OAK,6-7,,4,1.0,5,5,5,2,1,2,0,10.03,10,31,17,4,2,1,6,3,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.95,-0.251,.94,-0.15%,-4.39,6t --- 0 out d1,7t --- 0 out d6,,KCR,7.0,L,5,14
66,33,2000-05-10,KCR,DET,9-GF,,6,1.0,2,0,0,0,0,0,0,9.62,4,14,9,3,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.09,0.004,.11,0.00%,0.56,9b --- 0 out a6,9b end a 6,,DET,2.0,W,6,0
67,34,2000-05-11,KCR,CLE,6-7,,0,1.1,1,0,0,0,0,0,0,9.12,5,14,10,3,0,3,2,1,0,0,,2,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,.00,0.00%,1.17,6b 1-3 2 out d16,7b 3 out d16,,CLE,0.9090909090909091,L,0,16
68,38,2000-05-15,KCR,OAK,7-GF(8),,3,2.0,2,0,0,1,1,0,0,8.46,7,22,13,5,1,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,2,0,0,.26,0.024,.30,0.02%,1.15,7b --- 0 out d3,8b end d 3,,OAK,1.5,L,3,6
69,42,2000-05-20,KCR,ANA,5-6,,4,1.2,2,0,0,1,0,0,0,7.98,7,28,15,4,1,2,4,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,1.00,0.088,1.17,0.06%,0.94,5b --- 1 out d1,6b 3 out d1,,ANA,2.5,L,8,9
70,48,2000-05-27,KCR,ANA,GS-5,,6,5.0,4,2,2,2,4,1,0,7.34,20,60,39,13,6,4,10,3,0,0,53,,,0,0,0,18,0,0,0,0,0,0,1.31,0.105,1.50,0.07%,1.08,1t start tie,5t 3 out a1,,KCR,1.2,W,6,5
71,54,2000-06-03,KCR,PIT,GS-5,W(1-4),6,5.0,5,3,2,2,3,0,1,6.86,23,79,45,20,4,8,9,4,0,0,48,,,0,1,0,20,1,0,0,0,0,1,1.44,0.005,1.64,0.00%,-0.23,1b start a 2,5b 3 out a1,,PIT,1.4,W,16,3
72,57,2000-06-06,KCR,STL,6-7,L(1-5),2,2.0,2,1,1,0,3,0,0,6.75,8,34,26,10,3,2,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,1,0,1.44,-0.060,1.88,-0.05%,0.13,6b --- 0 out tie,7b 3 out d1,,STL,1.0,L,4,5
73,61,2000-06-11,KCR,PIT,GS-6,,4,6.0,11,4,1,1,4,0,0,6.08,30,100,67,15,6,12,13,9,0,0,43,,,2,1,1,29,3,0,0,0,0,1,.99,-0.056,1.16,-0.04%,-0.31,1t start tie,6t 3 out d2,,KCR,2.0,L,6,10
74,66,2000-06-17,KCR,OAK,GS-5,L(1-6),5,5.0,3,4,4,3,5,2,0,6.19,20,83,45,19,5,4,8,1,0,0,47,,,1,1,0,17,0,0,0,0,0,0,.77,-0.123,.84,-0.08%,-0.92,1t start tie,5t 3 out d3,,KCR,1.2,L,4,10
75,70,2000-06-22,KCR,ANA,CG(8),L(1-7),4,8.0,10,4,4,0,5,1,0,5.97,32,108,75,21,9,14,13,6,0,0,51,,,0,0,0,31,1,0,0,2,0,0,.92,-0.017,.74,-0.01%,0.88,1b start a 2,8b 3 out d1,,ANA,1.25,L,3,4
76,75,2000-06-28,KCR,CLE,CG,W(2-7),5,9.0,4,1,1,3,5,0,0,5.32,34,120,75,18,11,12,14,1,2,0,77,,,1,0,0,30,0,0,0,0,1,0,.51,0.255,.30,0.09%,4.54,1t start tie,9t 3 out a7,,KCR,0.7777777777777778,W,8,1
77,80,2000-07-03,KCR,CHW,GS-5,,4,4.0,10,8,7,3,3,1,0,5.89,26,102,64,15,7,6,14,8,0,0,12,,,2,0,0,23,1,0,0,0,0,1,1.12,-0.327,.52,-0.09%,-4.57,1t start tie,5t 12- 0 out a3,,KCR,3.25,L,10,14
78,85,2000-07-09,KCR,HOU,GS-3,L(2-8),5,3.0,6,5,5,0,4,2,0,6.25,15,62,41,9,7,5,6,1,0,0,31,,,1,0,0,14,1,1,0,0,1,0,.90,-0.348,.29,-0.07%,-3.20,1b start tie,3b 3 out d2,,HOU,2.0,L,6,9
79,89,2000-07-16,KCR,CHC,5-8,,6,3.1,4,2,2,1,1,0,0,6.21,14,43,24,7,2,7,5,2,0,0,,2,2,0,0,0,13,0,1,0,1,0,0,.90,-0.205,.15,-0.02%,-1.63,5t 12- 1 out tie,8t 12- 2 out d3,,KCR,1.6129032258064515,L,7,10
80,95,2000-07-22,KCR,DET,GS-7,W(3-8),5,7.0,6,3,3,6,5,0,0,6.02,32,126,67,18,11,6,15,10,1,0,52,,,3,0,0,25,1,0,0,0,0,0,1.26,-0.021,.32,0.00%,0.94,1b start tie,7b 3 out a4,1,DET,1.7142857142857142,W,8,5
81,101,2000-07-27,KCR,TBD,6-8,,4,2.2,3,1,1,0,4,0,1,5.94,12,46,29,8,5,4,3,3,0,0,,2,1,0,0,0,10,1,0,0,0,0,0,.36,0.000,.08,0.00%,0.52,6t 1-3 1 out d3,8t 3 out d5,,KCR,1.3636363636363635,L,5,8
