,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,46,2002-05-24,TBA,OAK,6-7,,99,2.0,2,0,0,0,2,0,0,0.0,7,22,15,8,1,3,2,2,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,1.72,0.16699999999999998,0.23,0.01%,1.07,6b --- 0 out tie,7b 3 out tie,,OAK,1.0,L,8,9
1,2,48,2002-05-26,TBA,OAK,6-6,,1,1.0,0,0,0,0,0,0,0,0.0,3,12,8,2,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.53,6b --- 0 out d6,6b 3 out d6,,OAK,0.0,L,0,7
2,3,51,2002-05-30,TBA,OAK,9-9,,3,0.0,0,1,1,0,0,0,1,3.0,1,5,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.35,-0.08199999999999999,0.13,0.00%,-0.39,9t --- 0 out tie,9t 1-- 0 out tie,,TBD,,W,4,3
3,4,52,2002-05-31,TBA,OAK,6-6,BS(1),0,0.2,1,1,1,1,0,1,1,4.91,6,26,14,7,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.76,-0.187,0.11,-0.01%,-1.26,6t --- 0 out a1,6t 123 2 out tie,,TBD,10.0,L,9,13
4,5,125,2002-08-20,TBA,BAL,9-GF,BL(0-1),80,0.2,2,4,0,1,0,1,0,4.15,6,25,12,3,2,2,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,1,1,5.21,-0.794,0.0,0.00%,-3.59,9b --- 0 out a1,9b end d 3,,BAL,15.0,L,4,7
5,6,130,2002-08-25,TBA,CHW,4-6,,4,2.1,2,1,1,1,2,0,0,4.05,10,40,24,6,3,3,4,3,0,0,,1,0,0,0,0,9,0,0,0,0,0,0,0.33,-0.006,0.0,0.00%,0.35,4b 1-- 2 out d4,6b 3 out d4,,CHW,1.4285714285714286,L,3,8
6,7,133,2002-08-29,TBA,ANA,8-GF(8),,3,1.0,0,1,1,2,0,0,0,4.7,6,18,7,2,0,2,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,1,1,0.06,-0.006,0.0,0.00%,-0.46,8b --- 0 out d4,8b end d 5,,ANA,2.0,L,1,6
7,8,134,2002-08-30,TBA,TEX,7-7,H(1),0,0.2,0,0,0,0,0,0,0,4.32,2,6,4,0,2,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.77,0.096,0.0,0.00%,0.59,7b 1-- 1 out a2,7b 3 out a2,,TEX,0.0,W,9,7
8,9,135,2002-08-31,TBA,TEX,7-8,W(1-1),0,2.0,2,0,0,1,0,0,0,3.48,8,26,14,2,0,4,3,3,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,2.04,0.195,0.0,0.00%,1.15,7b --- 0 out tie,8b 3 out a2,,TEX,1.5,W,7,5
9,10,139,2002-09-05,TBA,ANA,9-GF,,4,1.0,1,0,0,0,1,0,0,3.18,4,16,12,5,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.53,9t --- 0 out d9,9t end d 9,,TBD,1.0,L,1,10
10,11,141,2002-09-07,TBA,TEX,6-7,,1,2.0,2,2,2,2,3,1,0,4.05,10,44,22,6,3,2,3,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.11,-0.006,0.0,0.00%,-0.95,6t --- 0 out d6,7t 3 out d8,,TBD,2.0,L,2,11
11,12,144,2002-09-10,TBA,BOS,8-8,,2,0.0,0,1,0,0,0,0,1,4.05,2,6,4,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.00%,-1.01,8t --- 0 out d10,8t 12- 0 out d10,,TBD,,L,1,12
12,13,57,2005-06-05,TBA,SEA,7-8,,99,2.0,1,0,0,0,0,0,0,0.0,7,19,14,2,0,2,5,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.13,0.15,0.1,0.01%,1.0,7b --- 0 out d1,8b 3 out tie,,SEA,0.5,L,5,6
13,14,59,2005-06-08,TBA,CIN,8-8,,2,0.1,3,3,3,0,0,2,0,11.57,4,20,12,5,1,1,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.72,-0.19899999999999998,0.04,-0.01%,-2.76,8b --- 0 out a4,8b --- 1 out a1,,CIN,30.0,L,9,11
14,15,60,2005-06-09,TBA,CIN,7-GF(8),,0,2.0,1,0,0,1,3,0,0,6.23,8,40,27,8,6,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,1.01,7b --- 0 out d9,8b end d 9,,CIN,1.0,L,5,14
15,16,62,2005-06-11,TBA,PIT,7-GF(8),,1,2.0,7,6,1,1,0,0,0,5.68,15,42,27,3,1,7,7,1,0,0,,0,0,0,0,0,13,1,1,0,0,1,1,0.0,0.0,0.0,0.00%,-5.0,7b --- 0 out d11,8b end d16,,PIT,4.0,L,2,18
16,17,69,2005-06-19,TBA,STL,7-7,,7,1.0,0,0,0,0,1,0,0,4.91,3,10,8,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.0,0.00%,0.52,7t --- 0 out d6,7t 3 out d6,,TBD,0.0,L,5,8
17,18,2,2007-04-03,MIA,WSN,9-GF,,99,1.0,0,0,0,0,0,0,0,0.0,3,11,8,4,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.04,0.00%,0.49,9b --- 0 out a6,9b end a 6,,WSN,0.0,W,9,3
18,19,4,2007-04-06,MIA,PHI,8-8,,2,1.0,1,0,0,0,1,0,0,0.0,3,11,7,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.04,0.002,0.05,0.00%,0.51,8t --- 0 out d6,8t 3 out d6,,FLA,1.0,L,2,8
19,20,6,2007-04-08,MIA,PHI,9-GF,S(1),1,0.2,0,0,0,0,1,0,0,0.0,2,4,4,2,0,0,1,0,1,0,,3,0,0,0,0,2,0,0,0,0,0,0,6.01,0.28,6.69,0.19%,1.59,9t 123 1 out a2,9t end a 2,,FLA,0.0,W,6,4
20,21,8,2007-04-10,MIA,MIL,5-6,,1,1.1,1,0,0,0,0,0,1,0.0,6,19,11,4,0,2,3,1,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,2.18,0.138,2.37,0.09%,0.95,5t 12- 2 out tie,6t 3 out a1,,FLA,0.9090909090909092,L,2,3
21,22,9,2007-04-11,MIA,MIL,8-GF,,0,2.0,3,1,1,0,1,0,0,1.5,9,32,20,4,5,4,4,0,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,0.31,-0.004,0.32,0.00%,0.02,8t --- 0 out d2,9t end d 3,,FLA,1.5,L,2,5
22,23,14,2007-04-18,MIA,NYM,7-8,,6,2.0,4,1,1,0,3,0,0,2.25,10,27,21,4,5,3,4,4,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,0.03,-0.002,0.03,0.00%,0.02,7t --- 0 out d8,8t 3 out d7,,FLA,2.0,L,2,9
23,24,15,2007-04-19,MIA,NYM,7-7,,0,1.0,3,1,1,1,1,0,0,3.0,7,27,18,2,4,2,3,1,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,0.07,-0.006,0.07,0.00%,-0.49,7t --- 0 out d6,7t 3 out d7,,FLA,4.0,L,3,11
24,25,16,2007-04-20,MIA,WSN,14-GF(14),L(0-1),0,1.0,2,1,1,0,1,0,0,3.6,5,24,16,2,2,2,2,1,1,0,,0,0,1,0,0,5,0,0,0,0,0,0,2.66,-0.297,2.24,-0.15%,-0.49,14t --- 0 out tie,14t end d 1,,FLA,2.0,L,5,6
25,26,20,2007-04-24,MIA,ATL,2-5,,3,4.0,3,0,0,2,2,0,0,2.57,16,52,32,8,5,5,7,3,1,0,,3,2,0,0,0,14,1,0,1,1,0,0,1.54,0.17600000000000002,1.65,0.11%,1.88,2t 123 0 out tie,5t 3 out tie,,FLA,1.25,L,6,11
26,27,26,2007-05-01,MIA,NYM,6-6,H(1),6,1.0,2,1,1,0,0,0,0,3.0,5,8,7,2,0,4,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.78,-0.048,1.9,-0.03%,-0.48,6b --- 0 out a2,6b 3 out a1,,NYM,2.0,W,5,2
27,28,27,2007-05-02,MIA,NYM,4-4,,0,0.2,1,0,0,1,0,0,0,2.87,4,12,5,1,0,1,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.11,0.036000000000000004,1.31,0.03%,0.54,4b 1-- 1 out d2,4b 3 out d2,,NYM,10.0,L,3,6
28,29,29,2007-05-05,MIA,SDP,11-GF(12),L(0-2),2,2.0,4,1,1,0,1,0,0,3.06,10,42,27,3,2,2,7,6,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,2.24,-0.157,2.15,-0.09%,0.02,11t --- 0 out tie,12t end d 1,,FLA,2.0,L,6,7
29,30,31,2007-05-07,MIA,LAD,9-GF,,1,1.0,0,0,0,0,0,0,0,2.89,3,13,6,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.002,0.02,0.00%,0.51,9t --- 0 out d5,9t end d 5,,FLA,0.0,L,1,6
