Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,1,2015-04-06,TOR,NYY,8-GF,,99,1.1,0,0,0,0,1,0,0,0.00,3,12,8,4,0,0,2,1,0,0,,2,0,0,1,0,3,0,0,0,0,0,0,.18,0.019,.19,0.01%,0.92,8b 12- 2 out a5,9b end a 5,,NYY,0.0,W,6,1,,
2,2,2015-04-08,TOR,NYY,7-7,H(1),1,0.2,0,0,0,0,1,0,0,0.00,2,4,4,1,2,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.61,0.113,2.96,0.08%,0.52,7b 1-- 1 out a1,7b 3 out a1,,NYY,0.0,L,3,4,,
3,3,2015-04-09,TOR,NYY,9-GF,S(1),0,1.0,0,0,0,0,0,0,0,0.00,3,15,11,3,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.040,.54,0.03%,0.49,9b --- 0 out a3,9b end a 3,,NYY,0.0,W,6,3,,
4,6,2015-04-12,TOR,BAL,9-GF,S(2),2,1.0,1,0,0,1,0,0,0,0.00,5,19,11,3,3,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.65,0.041,1.86,0.03%,0.50,9b --- 0 out a3,9b end a 3,,BAL,2.0,W,10,7,,
5,8,2015-04-14,TOR,TBR,7-8,L(0-1),1,1.1,2,1,0,1,2,0,0,0.00,7,21,14,1,2,1,3,3,0,0,,1,0,1,0,0,5,0,0,1,0,1,0,2.31,-0.155,2.58,-0.10%,-0.27,7t 1-- 2 out tie,8t 3 out d1,,TOR,2.727272727272727,L,2,3,,
6,11,2015-04-17,TOR,ATL,9-GF,,2,1.0,0,0,0,1,0,0,0,0.00,4,10,5,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.038,.49,0.02%,0.50,9t --- 0 out d1,9t end d 1,,TOR,1.0,L,7,8,,
7,12,2015-04-18,TOR,ATL,9-9,BS(1),0,1.0,2,1,1,0,1,1,0,1.23,5,14,8,4,0,1,3,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.38,-0.200,2.13,-0.11%,-0.50,9t --- 0 out a1,9t 3 out tie,,TOR,2.0,W,6,5,,
8,15,2015-04-22,TOR,BAL,8-GF,S(3),3,1.1,1,0,0,1,1,0,0,1.04,5,20,10,3,1,1,1,1,0,1,,0,0,0,0,0,4,1,0,0,1,0,0,2.61,0.087,2.70,0.05%,0.61,8t --- 2 out a2,9t end a 2,,TOR,1.8181818181818181,W,4,2,,
9,16,2015-04-23,TOR,BAL,9-GF,S(4),0,0.2,1,1,1,0,1,1,0,1.93,3,12,8,3,1,0,2,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.51,0.034,1.60,0.02%,-2.09,9t 12- 1 out a4,9t end a 1,,TOR,5.0,W,7,6,,
10,18,2015-04-25,TOR,TBR,8-GF(8),BS(2),1,0.1,2,1,1,0,0,0,0,2.79,3,7,4,1,0,1,2,2,0,0,,2,2,0,0,0,3,2,0,0,0,0,0,3.13,-0.638,3.54,-0.43%,-2.52,8b 1-3 2 out a1,8b end d 2,,TBR,20.0,L,2,4,,
