Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,80,2004-07-02,TOR,MON,GS-6,L(0-1),99,5.2,4,1,1,1,4,0,0,1.59,22,93,57,18,5,4,13,3,4,0,60,,,1,0,0,20,0,0,0,0,0,0,1.06,0.302,.17,0.03%,2.78,1b start tie,6b 12- 2 out tie,,MON,0.9615384615384615,L,0,2
2,85,2004-07-08,TOR,SEA,GS-6,,5,6.0,10,4,4,1,2,0,0,3.86,28,96,64,22,6,13,12,4,0,0,37,,,1,0,0,25,2,0,1,0,1,0,.96,-0.048,.20,-0.01%,-0.50,1t start tie,6t 3 out a2,,TOR,1.8333333333333333,W,10,8
3,93,2004-07-20,TOR,OAK,GS-8,,11,8.0,1,0,0,3,6,0,1,2.29,28,107,71,12,14,6,12,5,1,0,83,,,0,1,0,24,0,0,0,0,0,0,1.09,0.576,.08,0.03%,4.45,1b start tie,8b 3 out tie,,OAK,0.5,L,0,1
4,98,2004-07-25,TOR,TBD,GS-8,W(1-1),4,7.1,8,3,1,1,2,1,0,2.00,31,93,65,19,2,17,11,4,3,0,55,,,0,0,0,30,1,0,0,1,0,1,.98,0.191,.03,0.00%,1.07,1t start tie,8t 1-- 1 out a2,,TOR,1.267605633802817,W,5,3
5,103,2004-07-31,TOR,TBD,GS-3,L(1-2),5,2.2,8,6,6,1,1,1,1,3.64,17,62,40,13,4,8,6,2,2,0,18,,,0,1,0,15,3,0,0,0,0,0,.87,-0.374,.02,-0.01%,-4.91,1b start tie,3b 1-3 2 out d5,,TBD,4.090909090909091,L,5,6
6,108,2004-08-05,TOR,CLE,GS-6,,4,6.0,5,3,3,3,7,2,0,3.79,24,96,56,18,10,6,8,2,1,0,54,,,0,1,0,21,1,0,0,0,0,0,1.12,0.044,.02,0.00%,0.50,1t start tie,6t 3 out tie,,TOR,1.3333333333333333,L,3,6
7,113,2004-08-10,TOR,CLE,GS-7,L(1-3),4,7.0,8,2,2,0,7,0,0,3.59,29,107,73,26,5,14,8,4,2,0,60,,,0,0,0,28,2,0,0,0,0,0,.81,0.055,.00,0.00%,1.70,1b start tie,7b 3 out d2,,CLE,1.1428571428571428,L,0,2
8,118,2004-08-15,TOR,BAL,GS-5,,4,5.0,7,2,2,1,4,0,0,3.59,23,89,53,17,9,7,11,4,0,0,48,,,0,0,0,22,2,1,0,0,0,0,.89,0.127,.00,0.00%,0.92,1t start tie,5t 3 out a5,,TOR,1.6,L,7,11
9,123,2004-08-21,TOR,BAL,GS-6,W(2-3),5,6.0,9,3,3,0,4,1,0,3.69,26,90,66,17,10,8,14,3,3,0,46,,,0,0,0,26,1,0,0,1,0,0,.46,0.091,.00,0.00%,0.30,1b start a 1,6b 3 out a6,,BAL,1.5,W,10,4
10,128,2004-08-26,TOR,NYY,GS-6,,4,5.2,7,4,3,2,4,0,1,3.79,27,103,61,21,6,7,13,5,4,0,43,,,0,0,0,23,0,0,0,1,1,1,1.36,-0.113,.00,0.00%,-0.98,1t start tie,6t 12- 2 out tie,,TOR,1.7307692307692306,L,4,7
11,133,2004-09-01,TOR,SEA,GS-7,W(3-3),5,7.0,5,2,2,3,6,1,0,3.66,29,107,73,22,12,7,13,2,3,0,62,,,1,0,0,26,0,0,1,0,0,0,1.24,0.176,.00,0.00%,2.09,1t start tie,7t 3 out tie,,TOR,1.1428571428571428,W,4,2
12,138,2004-09-07,TOR,ANA,GS-6,L(3-4),5,5.2,9,5,4,0,0,2,0,3.88,26,75,54,15,4,10,16,6,2,0,33,,,1,0,0,26,1,0,0,0,0,0,.68,-0.150,.00,0.00%,-2.19,1b start tie,6b 12- 2 out d5,,ANA,1.7307692307692306,L,2,5
13,143,2004-09-12,TOR,TEX,GS-7,,4,7.0,6,5,4,2,2,1,0,3.99,29,96,67,20,2,11,14,3,2,0,47,,,1,0,0,27,2,0,0,1,0,1,1.19,0.002,.00,0.00%,-0.76,1b start tie,7b 3 out a1,,TEX,1.1428571428571428,L,6,7
14,148,2004-09-18,TOR,TBD,GS-6,W(4-4),5,6.0,2,2,1,4,4,0,1,3.81,25,95,56,25,5,7,9,3,2,0,62,,,0,0,0,19,0,0,0,0,1,0,1.07,0.146,.00,0.00%,1.50,1t start tie,6t 3 out a2,,TOR,1.0,W,4,2
15,154,2004-09-25,TOR,TBD,GS-4,,6,3.2,4,5,4,0,0,2,1,4.06,16,48,32,7,1,4,11,2,4,0,35,,,1,0,0,13,1,0,0,0,1,0,.64,-0.271,.00,0.00%,-2.96,1b start tie,4b --- 2 out d4,,TBD,1.25,L,5,6
16,159,2004-10-01,TOR,NYY,SHO,W(5-4),5,9.0,2,0,0,3,11,0,1,3.69,32,117,76,13,17,7,10,0,3,0,91,,,0,0,0,28,0,0,0,1,0,0,.41,0.266,.00,0.00%,5.25,1t start tie,9t 3 out a7,,TOR,0.5555555555555556,W,7,0
17,4,2005-04-08,TOR,BOS,GS-5,L(0-1),99,5.0,4,3,3,2,1,2,0,5.40,20,84,49,15,3,5,12,4,1,0,46,,,1,0,0,17,0,0,0,1,1,0,.95,-0.048,1.11,-0.03%,-0.30,1t start tie,5t 3 out d1,,TOR,1.2,L,5,6
18,9,2005-04-13,TOR,OAK,GS-7,,4,7.0,5,2,2,1,3,1,0,3.75,25,103,68,24,5,8,13,3,2,0,61,,,0,1,0,24,2,0,0,1,0,0,.99,0.088,1.12,0.06%,1.70,1b start tie,7b 3 out tie,,OAK,0.8571428571428571,L,3,6
19,14,2005-04-18,TOR,BOS,GS-3,L(0-2),4,2.0,7,7,7,2,3,1,0,7.71,15,69,40,11,6,3,7,4,0,0,15,,,0,0,0,13,1,0,0,0,0,0,.85,-0.342,1.14,-0.28%,-5.40,1b start tie,3b -23 0 out d4,,BOS,4.5,L,7,12
20,19,2005-04-23,TOR,BAL,GS-8,L(0-3),4,8.0,5,1,1,1,2,1,2,5.32,31,107,69,21,5,10,16,5,2,0,69,,,2,1,0,28,1,0,0,1,0,1,.91,0.333,1.11,0.24%,3.31,1t start tie,8t 3 out d1,,TOR,0.75,L,1,4
21,25,2005-04-30,TOR,NYY,GS-7,,6,7.0,8,3,3,0,4,1,0,4.97,28,107,74,17,7,16,8,2,2,0,53,,,0,0,0,28,1,0,0,1,0,0,.74,0.015,.88,0.01%,0.63,1b start tie,7b 3 out d1,,NYY,1.1428571428571428,L,3,4
