,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,157,5,2000-04-07,LAN,NYM,GS-5,L(0-1),99,5.0,2,2,2,8,3,0,1,3.6,25,91,40,9,7,7,6,3,0,0,50.0,,,0,0,0,16,1,0,0,0,0,0,1.08,0.03,1.03,0.02%,0.69,1b start tie,5b 3 out d1,,NYM,2.0,L,1,2
1,158,8,2000-04-12,LAN,SFG,GS-5,,4,5.0,2,2,1,1,1,1,0,2.7,19,76,47,8,7,7,10,2,2,0,57.0,,,0,0,0,18,1,0,0,0,0,1,1.08,0.053,1.24,0.04%,0.61,1b start tie,5b 3 out tie,,SFG,0.6,W,6,5
2,159,13,2000-04-18,LAN,HOU,GS-6,W(1-1),5,6.0,3,3,3,2,8,1,1,3.38,23,94,53,15,9,5,8,4,0,0,60.0,,,0,0,0,20,0,0,0,0,0,0,1.09,-0.064,1.14,-0.04%,0.16,1t start tie,6t 3 out d1,,LAD,0.8333333333333334,W,5,3
3,160,18,2000-04-24,LAN,NYM,GS-6,,5,6.0,5,0,0,3,2,0,0,2.45,24,88,49,10,6,10,9,4,1,0,61.0,,,0,0,0,21,1,0,0,2,0,0,1.24,0.366,1.53,0.27%,3.23,1b start tie,6b 3 out tie,,NYM,1.3333333333333333,L,0,1
4,161,23,2000-04-29,LAN,FLA,GS-5,,4,5.0,6,9,2,2,3,2,1,2.67,26,91,55,12,8,12,8,3,0,0,34.0,,,0,0,0,23,1,0,0,0,0,2,0.59,-0.359,0.67,-0.25%,-6.37,1t start tie,5t 3 out a1,,LAD,1.6,W,13,12
5,162,29,2000-05-06,LAN,HOU,GS-6,W(2-1),6,5.2,9,5,4,3,2,1,1,3.31,28,99,59,14,7,12,11,8,1,0,32.0,,,1,1,0,23,2,0,0,1,0,0,0.84,-0.045,0.99,-0.03%,-2.08,1t start tie,6t 1-- 2 out a3,,LAD,2.3076923076923075,W,9,6
6,163,34,2000-05-12,LAN,STL,SHO,W(3-1),5,9.0,2,0,0,3,6,0,1,2.59,29,108,61,15,10,13,6,3,0,0,86.0,,,0,1,0,25,1,0,0,2,0,0,0.33,0.136,0.34,0.09%,5.09,1b start a 5,9b 3 out a13,,STL,0.5555555555555556,W,13,0
7,164,38,2000-05-17,LAN,CHC,GS-5,,4,4.1,7,6,6,3,3,1,1,3.52,24,83,47,10,6,9,8,5,0,0,25.0,,,0,0,0,19,0,1,0,0,0,0,1.28,-0.39,1.42,-0.26%,-3.84,1b start tie,5b 1-- 1 out d1,,CHC,2.4390243902439033,W,8,6
8,165,42,2000-05-22,LAN,CIN,GS-8,,4,8.0,6,2,2,0,4,1,0,3.33,31,97,63,14,8,12,15,5,0,0,66.0,,,2,0,0,31,1,0,0,0,0,1,1.4,0.204,1.9,0.17%,2.22,1t start tie,8t 3 out tie,,LAD,0.75,W,4,3
9,166,46,2000-05-27,LAN,PHI,GS-3,L(3-2),4,3.0,6,6,6,3,5,2,0,4.11,18,79,41,13,9,2,8,5,0,0,25.0,,,0,0,0,15,0,0,0,0,0,0,0.93,-0.425,1.23,-0.34%,-4.42,1t start tie,3t 3 out d4,,LAD,3.0,L,6,7
10,167,51,2000-06-02,LAN,ANA,GS-4,L(3-3),5,4.0,9,7,7,4,1,2,0,4.87,24,96,62,12,7,7,12,7,0,0,13.0,,,0,1,0,20,1,0,0,0,0,0,0.88,-0.358,1.07,-0.26%,-4.56,1b start tie,4b 3 out d3,,ANA,3.25,L,5,12
