,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,21,2019-04-20,ARI,CHC,7-GF,S(1),99,3.0,1,0,0,0,2,0,1,0.0,11,39,22,5,4,4,4,1,1,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.11,0.025,0.11,0.02%,1.62,9.55,15.0,7b --- 0 out a6,9b end a 6,,CHC,0.3333333333333333,W,6,0
1,2,36,2019-05-07,ARI,TBR,GS-6,L(0-1),16,6.0,7,2,2,0,2,1,0,2.0,23,90,61,15,6,13,8,3,0,0,52.0,,,1,0,0,23,2,0,0,1,0,0,0.92,0.069,1.09,0.05%,1.22,9.3,18.0,1b start tie,6b 3 out d1,,TBR,1.1666666666666667,L,3,6
2,3,52,2019-05-25,ARI,SFG,GS-7,W(1-1),17,6.1,5,3,2,3,4,0,1,2.35,27,100,64,14,8,8,11,5,0,0,54.0,,,0,0,1,23,2,0,0,0,0,1,0.86,0.071,0.83,0.04%,1.57,16.85,37.0,1b start a 2,7b 12- 1 out a9,,SFG,1.3114754098360657,W,10,4
3,4,57,2019-05-30,ARI,COL,GS-2,,4,2.0,4,5,5,2,3,1,1,4.67,13,55,32,9,6,3,4,2,0,0,29.0,,,0,0,0,9,1,1,0,0,1,0,1.26,-0.341,1.19,-0.19%,-3.75,-3.7,0.0,1b start a 3,2b 3 out d1,,COL,3.0,L,10,11
4,5,62,2019-06-04,ARI,LAD,GS-5,L(1-2),4,5.0,4,3,2,2,4,0,0,4.43,21,96,59,10,8,5,10,3,2,0,51.0,,,0,0,0,19,1,1,0,0,0,1,0.88,-0.092,0.69,-0.04%,-0.33,11.65,21.0,1t start tie,5t 3 out d3,,ARI,1.2,L,0,9
5,6,67,2019-06-10,ARI,PHI,GS-4,,5,3.1,6,4,4,2,4,2,0,5.26,18,77,48,8,9,7,5,1,1,0,34.0,,,1,0,0,15,0,1,0,0,0,0,1.02,-0.223,0.93,-0.12%,-2.55,2.7,10.0,1b start a 3,4b -2- 1 out a3,,PHI,2.5806451612903225,W,13,8
6,7,72,2019-06-15,ARI,WSN,GS-5,,4,4.2,7,3,3,0,6,2,0,5.34,21,97,63,14,12,2,13,6,1,0,44.0,,,0,0,0,20,0,1,0,0,1,0,0.86,-0.03,0.83,-0.02%,-0.45,12.3,23.0,1b start a 2,5b 1-- 2 out a3,,WSN,1.6666666666666663,W,10,3
7,8,77,2019-06-21,ARI,SFG,GS-4,L(1-3),5,3.0,7,6,6,2,3,2,1,6.48,19,71,42,11,5,3,10,5,1,0,22.0,,,0,0,0,16,3,0,0,0,0,0,0.88,-0.33,0.65,-0.15%,-4.79,-5.25,0.0,1t start tie,4t 1-- 0 out d5,,ARI,3.0,L,5,11
8,9,82,2019-06-26,ARI,LAD,GS-5,W(2-3),4,5.0,3,2,2,3,3,1,0,6.1,21,93,57,11,10,8,7,2,1,0,53.0,,,0,0,0,17,1,0,0,1,1,1,0.71,0.08800000000000001,0.49,0.04%,0.67,13.65,30.0,1t start tie,5t 3 out a4,,ARI,1.2,W,8,2
9,10,87,2019-07-02,ARI,LAD,GS-4,,5,3.2,5,3,3,3,1,1,0,6.21,18,71,39,8,2,6,8,4,0,0,37.0,,,0,0,0,15,1,0,0,0,0,0,1.09,-0.14800000000000002,0.86,-0.07%,-1.2,-0.55,5.0,1b start a 1,4b 1-- 2 out tie,,LAD,2.5,L,4,5
10,11,98,2019-07-19,ARI,MIL,GS-4,,16,3.2,7,4,4,2,0,1,0,6.5,18,75,44,11,7,6,10,6,1,0,29.0,,,0,1,0,16,2,0,0,0,0,0,0.88,-0.18600000000000003,0.77,-0.10%,-1.97,-5.15,-1.0,1t start tie,4t --- 2 out a3,,ARI,2.8125,W,10,7
11,12,103,2019-07-24,ARI,BAL,GS-6,W(3-3),4,6.0,4,2,2,0,7,2,0,6.1,22,87,57,14,16,7,8,2,0,0,63.0,,,0,0,0,22,1,0,0,0,0,0,0.8,0.11699999999999999,0.53,0.05%,1.21,25.1,45.0,1t start tie,6t 3 out a1,,ARI,0.6666666666666666,W,5,2
