,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,16,92,2000-07-18,LAN,PIT,GS-5,L(0-1),99,4.0,4,7,7,3,5,2,1,15.75,20,104,60,20,8,3,8,2,1,0,28.0,,,0,0,0,16,1,0,0,0,0,0,0.75,-0.518,0.89,-0.37%,-4.89,1t start tie,5t --- 0 out d1,,LAD,1.75,L,6,8
1,17,4,2001-04-06,TBA,BOS,4-8,,99,3.1,2,3,1,2,3,0,0,2.7,15,61,36,8,4,6,4,1,2,0,,0.0,0.0,0,0,0,13,0,0,0,0,0,1,0.1,0.018000000000000002,0.1,0.01%,-0.07,4b --- 2 out d5,8b 123 0 out d4,,BOS,1.2903225806451613,L,4,11
2,18,13,2001-04-16,TBA,BAL,8-GF(8),,9,1.0,1,1,0,0,0,0,0,2.08,5,18,12,3,0,3,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,1,1,0.03,-0.006,0.02,0.00%,-0.48,8b --- 0 out d4,8b end d 5,,BAL,1.0,L,2,6
3,19,14,2001-04-17,TBA,BOS,3-6,,0,4.0,4,0,0,0,3,0,0,1.08,15,63,39,8,6,7,5,3,1,0,,0.0,0.0,0,0,0,15,0,0,0,1,0,0,0.09,0.021,0.08,0.01%,2.13,3t --- 0 out d7,6t 3 out d7,,TBD,1.0,L,0,10
4,20,19,2001-04-22,TBA,BAL,GS-4,,4,3.2,6,5,5,2,1,2,0,4.5,18,77,46,7,3,2,13,3,3,0,28.0,,,0,0,0,16,0,0,0,0,0,0,0.81,-0.256,0.43,-0.08%,-2.99,1t start tie,4t --- 2 out d2,,TBD,2.5,L,8,10
5,21,24,2001-04-28,TBA,DET,GS-5,W(1-0),5,5.0,3,2,0,4,2,0,1,3.18,23,95,52,12,9,4,12,6,1,0,55.0,,,1,1,0,17,1,0,0,0,1,1,1.08,0.073,0.44,0.02%,0.55,1b start a 1,5b 3 out a5,,DET,1.4,W,7,3
6,22,30,2001-05-05,TBA,CLE,8-8,,6,0.2,1,1,1,0,0,0,0,3.57,3,12,8,0,2,0,3,2,0,0,,0.0,0.0,0,0,0,2,0,1,0,0,1,0,0.24,-0.016,0.09,0.00%,-0.58,8t --- 0 out d4,8t --- 2 out d5,,TBD,5.0,L,4,9
7,23,31,2001-05-06,TBA,CLE,9-GF,,0,0.2,0,0,0,0,0,0,0,3.44,2,9,4,2,0,1,1,0,0,0,,3.0,1.0,0,0,0,2,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,0.61,9t 123 1 out d7,9t end d 8,,TBD,0.0,L,3,10
8,24,33,2001-05-09,TBA,BAL,4-5,,2,1.2,2,2,2,2,2,0,0,4.05,9,45,23,7,3,0,5,2,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,1.65,-0.146,0.47,-0.03%,-1.19,4t --- 1 out tie,5t 3 out tie,,TBD,3.333333333333333,L,6,8
9,25,50,2001-05-29,TEX,KCR,9-GF,,19,1.0,1,0,0,0,1,0,0,3.86,4,13,10,4,2,1,2,2,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.06,0.003,0.01,0.00%,0.57,9t --- 0 out a6,9t end a 6,,TEX,1.0,W,8,2
10,26,51,2001-05-30,TEX,KCR,2-3,,0,2.0,5,4,4,1,0,1,0,5.09,11,30,21,4,1,4,6,3,0,0,,2.0,1.0,0,0,0,10,0,0,0,1,0,0,0.19,-0.044000000000000004,0.03,-0.01%,-2.51,2t 1-3 0 out d6,3t 3 out d10,,TEX,3.0,L,2,11
11,27,53,2001-06-01,TEX,MIN,1-4,,1,3.1,2,0,0,1,2,0,0,4.44,13,53,36,9,3,5,5,1,0,0,,2.0,0.0,0,0,0,12,1,0,0,0,0,0,0.6,0.122,0.08,0.01%,2.25,1t 1-3 2 out d5,4t 3 out d3,,TEX,0.9677419354838708,L,7,10
12,28,63,2001-06-12,TEX,LAD,GS-3,L(1-1),10,2.2,7,6,4,3,2,1,0,5.28,19,71,38,8,5,8,6,4,1,0,23.0,,,2,0,0,16,1,0,0,0,0,1,1.2,-0.344,0.04,-0.01%,-3.31,1b start a 3,3b 123 2 out d1,,LAD,4.545454545454545,L,4,8
