Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,4,2008-04-04,LAD,SDP,GS-7,W(1-0),99,7.0,3,1,1,0,4,1,0,1.29,24,77,53,8,9,10,10,1,3,0,71,,,0,0,0,24,0,0,0,0,0,0,.71,0.163,.82,0.11%,2.10,1b start tie,7b 3 out a6,,SDP,0.42857142857142855,W,7,1
2,9,2008-04-09,LAD,ARI,GS-6,L(1-1),4,5.2,9,4,2,2,4,0,1,2.13,29,108,77,16,15,8,14,8,2,0,41,,,0,0,0,26,1,0,1,0,0,1,1.62,-0.284,1.86,-0.20%,-1.19,1b start tie,6b 12- 2 out d1,,ARI,2.1153846153846154,L,3,4
3,13,2008-04-14,LAD,PIT,GS-6,,4,6.0,7,3,3,0,2,1,0,2.89,25,84,56,11,6,8,15,4,2,0,48,,,0,0,0,25,1,0,0,0,0,0,1.06,-0.072,.90,-0.04%,0.00,1t start tie,6t 3 out d1,,LAD,1.1666666666666667,L,4,6
4,18,2008-04-20,LAD,ATL,GS-6,L(1-2),5,6.0,7,2,2,4,4,1,0,2.92,30,118,69,13,6,10,12,4,2,0,50,,,0,0,0,26,2,0,2,0,0,1,1.24,0.039,.95,0.02%,1.00,1b start tie,6b 3 out d1,,ATL,1.8333333333333333,L,1,6
5,23,2008-04-25,LAD,COL,GS-6,,4,6.0,9,5,5,2,2,0,0,3.82,27,95,61,12,6,13,10,5,0,0,34,,,0,0,1,25,3,0,0,1,0,0,1.16,-0.201,.94,-0.10%,-2.00,1t start tie,6t 3 out a2,,LAD,1.8333333333333333,W,8,7
6,28,2008-05-01,LAD,FLA,GS-7,,5,7.0,5,3,3,0,4,1,0,3.82,27,85,58,13,7,13,10,6,0,0,59,,,0,0,0,27,1,0,0,0,0,1,1.04,0.047,1.06,0.03%,0.61,1b start tie,7b 3 out tie,,FLA,0.7142857142857143,W,5,3
7,33,2008-05-06,LAD,NYM,GS-4,,4,3.1,8,4,2,3,1,1,0,3.95,22,80,46,8,4,14,4,1,0,0,30,,,3,0,0,19,0,0,0,1,0,2,1.03,-0.293,1.25,-0.21%,-2.91,1t start tie,4t 12- 1 out d1,,LAD,3.5483870967741935,W,5,4
8,37,2008-05-11,LAD,HOU,GS-7,,4,6.2,1,1,1,3,5,0,1,3.59,25,96,54,11,8,6,10,1,2,0,70,,,0,0,0,21,0,0,0,0,0,0,.85,0.337,.97,0.23%,3.06,1t start tie,7t 12- 2 out a2,,LAD,0.6451612903225806,L,5,8
9,41,2008-05-16,LAD,LAA,GS-7,L(1-3),4,6.1,7,4,3,2,5,0,0,3.67,30,100,63,13,14,11,12,2,0,0,48,,,0,0,0,27,1,0,0,0,1,0,.90,-0.142,1.01,-0.10%,-0.75,1b start tie,7b 1-- 1 out d2,,LAA,1.4754098360655739,L,2,4
10,46,2008-05-21,LAD,CIN,GS-8,W(2-3),4,8.0,5,2,2,2,3,0,0,3.48,29,99,64,15,7,15,9,1,1,0,65,,,1,0,0,26,2,0,0,2,1,0,1.17,0.227,1.41,0.16%,2.00,1t start tie,8t 3 out a3,,LAD,0.875,W,5,2
