,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,4,2015-04-10,NYN,ATL,7-7,,99,0.2,0,0,0,0,1,0,0,0.0,2,7,5,2,1,1,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,1.31,0.064,1.52,0.05%,0.36,7b --- 0 out tie,7b --- 2 out tie,,ATL,0.0,L,3,5,,
1,2,5,2015-04-11,NYN,ATL,7-8,,0,1.2,0,0,0,0,2,0,0,0.0,5,26,16,4,4,2,1,0,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.23,0.028999999999999998,0.27,0.02%,0.81,7b --- 0 out d2,8b --- 2 out d2,,ATL,0.0,L,3,5,,
2,3,8,2015-04-14,NYN,PHI,8-8,H(1),2,0.1,1,1,1,0,0,1,0,3.38,2,4,3,1,0,1,1,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,1.09,-0.027000000000000003,1.28,-0.02%,-0.79,8t --- 0 out a3,8t --- 1 out a2,,NYM,10.0,W,6,5,,
3,4,12,2015-04-18,NYN,MIA,8-8,,3,0.1,1,1,1,1,1,0,0,6.0,3,14,6,3,1,0,1,1,0,0,,0.0,0.0,0,0,0,2,1,0,0,0,0,0,0.52,-0.021,0.64,-0.02%,-1.19,8t --- 0 out a5,8t -2- 1 out a4,,NYM,20.0,W,5,4,,
4,5,14,2015-04-21,NYN,ATL,9-GF,,2,1.0,1,0,0,0,0,0,0,4.5,3,12,8,4,0,1,2,1,1,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.08,0.002,0.12,0.00%,0.45,9t --- 0 out a6,9t end a 6,,NYM,1.0,W,7,1,,
5,6,15,2015-04-22,NYN,ATL,8-8,,0,0.2,0,0,0,2,0,0,0,3.86,4,16,6,3,0,0,2,0,1,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,1.47,0.013000000000000001,2.25,0.01%,0.04,8t --- 0 out tie,8t 12- 2 out tie,,NYM,10.0,W,3,2,,
6,7,17,2015-04-24,NYN,NYY,6-7,,1,1.0,1,0,0,0,1,0,0,3.18,5,19,13,5,2,3,1,0,1,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,1,0.07,0.0,0.08,0.00%,-0.5,6b --- 0 out d5,7b 12- 0 out d5,,NYY,1.0,L,1,6,,
7,8,23,2015-04-30,NYN,WSN,7-7,,5,0.1,0,0,0,0,0,0,0,3.0,1,3,2,1,0,1,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.6,0.015,0.82,0.01%,0.41,7t 12- 2 out d3,7t 3 out d3,,NYM,0.0,L,2,8,,
8,9,26,2015-05-03,NYN,WSN,8-8,,2,0.1,0,0,0,1,0,0,0,2.84,2,5,1,0,0,1,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,1,0,0,0,1.42,0.034,2.09,0.03%,0.3,8t -2- 2 out d1,8t 3 out d1,,NYM,10.0,L,0,1,,
9,10,29,2015-05-08,NYN,PHI,8-8,,4,0.2,1,0,0,1,0,0,0,2.57,3,11,6,2,2,2,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0.2,0.006,0.27,0.01%,0.24,8b --- 0 out d2,8b 1-- 2 out d2,,PHI,10.0,L,1,3,,
