,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,74,2009-06-25,MIA,BAL,7-8,,99,2.0,1,0,0,1,0,0,0,0.0,8,17,10,1,1,4,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.13,0.016,0.14,0.01%,1.02,7t --- 0 out a6,8t 3 out a6,,FLA,1.0,W,11,3
1,2,77,2009-06-28,MIA,TBR,7-GF(8),,2,1.2,2,0,0,0,1,0,0,0.0,7,29,20,4,3,3,3,0,1,0,,2,2,0,0,0,7,0,0,0,0,0,0,0.31,-0.042,0.36,-0.03%,-0.25,7b 1-3 1 out d2,8b end d 4,,TBR,1.6666666666666667,L,2,5
2,3,81,2009-07-03,MIA,PIT,4-6,,4,3.0,1,0,0,1,1,0,0,0.0,11,36,24,5,3,5,4,1,1,0,,0,0,0,0,0,10,0,0,0,0,0,0,0.26,0.054000000000000006,0.36,0.04%,1.52,4t --- 0 out d4,6t 3 out d4,,FLA,0.6666666666666666,L,4,7
3,4,84,2009-07-06,MIA,SFG,8-GF(8),,2,1.0,1,0,0,0,2,0,0,0.0,4,11,10,2,2,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.11,0.006999999999999999,0.16,0.01%,0.51,8b --- 0 out d3,8b end d 3,,SFG,1.0,L,4,5
4,5,108,2009-08-06,MIA,WSN,5-5,,30,0.2,1,0,0,0,0,0,0,0.0,3,11,5,0,0,1,2,1,1,0,,2,2,0,0,0,2,0,0,0,0,1,0,1.68,-0.051,1.76,-0.03%,-0.6,5b -23 1 out a3,5b 3 out a1,,WSN,5.0,L,8,12
5,6,111,2009-08-09,MIA,PHI,9-GF,,2,1.0,0,0,0,0,0,0,0,0.0,3,9,6,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.01,0.00%,0.5,9b --- 0 out a9,9b end a 9,,PHI,0.0,W,12,3
6,7,113,2009-08-11,MIA,HOU,5-6,,1,1.1,1,1,1,0,2,0,0,0.84,5,16,13,3,2,2,1,0,0,0,,2,0,1,0,0,4,0,0,0,0,1,0,0.36,-0.009000000000000001,0.52,-0.01%,-0.05,5t 12- 2 out d4,6t 3 out d5,,FLA,0.9090909090909092,W,9,8
7,8,114,2009-08-12,MIA,HOU,4-5,,0,1.2,5,3,2,2,1,1,0,2.19,11,45,25,3,3,4,4,3,0,0,,3,3,0,0,0,9,0,0,0,1,0,0,0.18,-0.076,0.28,-0.07%,-3.91,4t 123 1 out d4,5t 3 out d8,,FLA,5.833333333333334,L,6,14
8,9,129,2009-08-29,MIA,SDP,6-7,,16,1.1,0,1,1,2,0,0,0,2.63,6,18,9,3,0,2,2,1,0,0,,3,1,0,0,0,2,0,0,0,0,1,0,2.44,0.046,1.95,0.02%,0.65,6t 123 1 out tie,7t 12- 2 out a1,,FLA,1.818181818181818,L,4,7
9,10,131,2009-08-31,MIA,ATL,9-GF,,1,1.0,1,0,0,0,0,0,0,2.45,3,10,7,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.1,0.004,0.08,0.00%,0.51,9t --- 0 out d4,9t end d 4,,FLA,1.0,L,2,5
10,11,133,2009-09-02,MIA,ATL,7-7,H(1),1,0.1,2,0,0,0,1,0,1,2.4,4,12,7,0,3,0,2,2,0,0,,3,3,0,0,0,3,1,0,0,0,0,0,3.01,-0.207,1.29,-0.05%,-2.19,7t 123 1 out a4,7t 123 2 out a1,,FLA,20.0,W,8,7
11,12,140,2009-09-10,MIA,NYM,9-GF,,7,1.0,0,0,0,0,2,0,0,2.25,3,14,11,3,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.48,9b --- 0 out a9,9b end a 9,,NYM,0.0,W,13,4
12,13,142,2009-09-12,MIA,WSN,5-6,W(1-0),1,1.1,0,0,0,0,2,0,0,2.08,4,16,11,3,4,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,0.88,0.091,0.58,0.04%,0.95,5t 12- 2 out a3,6t 3 out a3,,FLA,0.0,W,11,3
13,14,144,2009-09-14,MIA,STL,8-GF(8),,1,0.1,2,0,0,0,1,0,0,2.04,3,13,8,0,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.0,0.01,0.00%,0.1,8b --- 2 out d5,8b end d 5,,STL,20.0,L,6,11
14,15,147,2009-09-17,MIA,CIN,7-GF(8),,2,1.1,0,0,0,1,0,0,0,1.89,4,18,11,2,0,3,0,0,0,0,,2,0,0,0,0,3,0,0,0,1,0,0,0.76,0.067,0.52,0.03%,0.93,7b 12- 2 out d1,8b end d 1,,CIN,0.9090909090909092,L,2,3
15,16,150,2009-09-20,MIA,CIN,6-7,,2,2.0,4,3,3,1,2,1,0,3.0,11,37,22,4,6,3,5,2,1,0,,0,0,0,0,0,10,1,1,0,0,0,0,0.04,-0.006999999999999999,0.04,0.00%,-2.0,6b --- 0 out d5,7b 3 out d8,,CIN,2.5,L,1,8
