Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,137,2006-09-03,TBD,SEA,GS-4,,99,4.0,7,2,2,3,1,1,0,4.50,22,72,45,11,1,7,11,3,3,0,38,,,1,0,0,19,1,0,0,0,0,0,1.11,-0.012,.00,0.00%,0.19,1t start tie,4t 3 out d2,,TBD,2.5,W,7,6
2,144,2006-09-12,TBD,NYY,1-3,,8,2.2,5,5,5,2,3,0,1,9.45,16,68,38,11,8,2,8,4,1,0,,2,2,0,0,0,12,2,0,0,0,1,0,.19,-0.072,.00,0.00%,-4.91,1b 12- 1 out d5,3b 3 out d12,,NYY,3.1818181818181817,L,4,12
3,149,2006-09-17,TBD,TOR,GS-5,,4,5.0,7,2,2,1,3,0,0,6.94,23,84,51,10,6,10,9,0,2,0,47,,,0,0,0,21,2,0,0,0,1,0,1.22,0.078,.00,0.00%,0.76,1b start a 1,5b 3 out tie,,TOR,1.6,L,3,5
4,155,2006-09-24,TBD,NYY,GS-6,W(1-0),6,5.1,7,3,3,2,2,1,0,6.35,24,92,54,11,5,7,13,2,2,0,42,,,0,1,0,21,0,0,0,0,1,0,1.03,0.066,.00,0.00%,-0.01,1t start tie,6t --- 1 out a3,,TBD,1.7647058823529413,W,11,4
5,160,2006-09-29,TBD,CLE,GS-7,,4,7.0,5,1,1,1,6,0,0,4.88,25,95,62,17,11,9,9,3,1,0,68,,,0,1,0,24,3,0,0,0,0,0,1.06,0.331,.00,0.00%,2.83,1b start tie,7b 3 out tie,,CLE,0.8571428571428571,L,1,2
6,1,2007-04-02,TBD,NYY,6-7,L(0-1),99,1.2,2,1,1,0,0,0,0,5.40,6,18,11,2,0,2,4,1,1,0,,2,0,1,0,0,6,0,0,0,0,0,0,1.61,-0.013,1.75,-0.01%,0.53,6b 12- 1 out tie,7b 3 out d1,,NYY,1.6666666666666667,L,5,9
7,2,2007-04-05,TBD,NYY,8-8,H(1),2,1.0,1,0,0,1,0,0,0,3.38,6,20,13,4,0,4,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,4.79,0.150,5.13,0.10%,0.56,8b --- 0 out a1,8b 3 out a1,,NYY,2.0,W,7,6
8,3,2007-04-06,TBD,TOR,7-7,,0,0.1,0,0,0,0,0,0,0,3.00,1,5,3,1,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.15,0.089,3.54,0.06%,0.52,7t 1-3 2 out tie,7t 3 out tie,,TBD,0.0,W,6,5
9,5,2007-04-08,TBD,TOR,8-8,,1,1.0,4,2,2,0,1,0,0,6.75,6,15,11,2,2,2,3,2,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,1.14,-0.169,1.30,-0.12%,-1.46,8t --- 0 out d1,8t 3 out d3,,TBD,4.0,L,3,6
10,8,2007-04-11,TBD,TEX,8-8,H(2),2,1.0,0,0,0,0,0,0,0,5.40,3,11,7,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.150,1.62,0.08%,0.56,8b --- 0 out a1,8b 3 out a1,,TEX,0.0,W,6,5
