,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,145,43,2000-05-23,PIT,ARI,5-6,,99,1.2,3,0,0,1,1,0,0,0.0,8,32,21,3,4,3,3,2,1,0,,1,0,0,0,0,7,1,0,0,1,0,0,0.19,0.018000000000000002,0.13,0.01%,1.18,5b 1-- 1 out d5,6b 3 out d5,,ARI,3.333333333333333,L,1,6
1,146,48,2000-05-28,PIT,COL,5-6,,4,1.2,4,4,3,3,0,0,0,8.1,12,50,28,5,4,4,5,4,0,0,,0,0,0,0,0,7,2,0,1,0,1,1,0.1,-0.028999999999999998,0.05,-0.01%,-3.14,5b --- 0 out d6,6b 12- 2 out d9,,COL,5.833333333333334,L,2,11
2,147,53,2000-06-03,PIT,KCR,6-6,,5,0.2,2,2,2,0,0,2,0,11.25,4,10,8,3,1,1,3,0,0,0,,3,3,0,0,0,3,0,0,0,0,1,0,0.47,-0.08900000000000001,0.32,-0.04%,-3.36,6t 123 1 out d3,6t 3 out d8,,PIT,10.0,L,3,16
3,148,56,2000-06-06,PIT,DET,8-8,,2,0.1,0,0,0,0,1,0,0,10.38,1,4,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.04,0.027999999999999997,0.68,0.01%,0.47,8t 12- 2 out d2,8t 3 out d2,,PIT,0.0,L,1,2
4,149,58,2000-06-09,PIT,KCR,6-7,,2,2.0,0,0,0,2,1,0,0,7.11,8,32,19,5,2,4,1,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,0.58,0.055999999999999994,0.38,0.02%,1.23,6b --- 0 out d3,7b 3 out d2,,KCR,1.0,L,5,6
5,150,60,2000-06-11,PIT,KCR,7-7,BS(1),1,1.0,1,0,0,0,0,0,0,6.14,4,13,8,2,1,2,2,1,0,0,,2,2,0,0,0,4,0,0,0,0,0,0,1.63,-0.08800000000000001,0.98,-0.03%,-0.04,7b 1-3 0 out a1,7b 3 out d1,,KCR,1.0,W,10,6
6,151,61,2000-06-12,PIT,ATL,7-8,H(1),0,1.2,1,2,1,1,2,0,0,6.0,7,27,18,7,3,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.51,0.0,0.98,0.00%,-0.24,7t --- 0 out a2,8t -2- 2 out a1,,PIT,1.6666666666666667,L,8,10
7,152,63,2000-06-14,PIT,ATL,5-5,,1,1.0,0,0,0,0,1,0,0,5.4,3,9,6,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.55,0.043,0.34,0.02%,0.56,5t --- 0 out d2,5t 3 out d2,,PIT,0.0,L,4,8
8,153,66,2000-06-17,PIT,FLA,10-GF(11),L(0-1),2,2.0,2,1,1,1,0,0,1,5.25,9,22,13,2,1,6,1,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,2.8,-0.134,1.38,-0.04%,0.11,10t --- 0 out tie,11t end d 1,,PIT,1.5,L,3,4
9,154,68,2000-06-19,PIT,MON,8-GF(8),BL(0-2),1,1.0,3,2,2,1,1,0,0,6.23,7,25,17,3,2,3,3,2,0,0,,0,0,1,0,0,6,1,0,0,0,0,0,2.52,-0.489,0.97,-0.11%,-1.42,8b --- 0 out a1,8b end d 1,,MON,4.0,L,1,2
10,155,71,2000-06-22,PIT,MON,8-GF(8),,2,1.0,1,0,0,0,0,0,0,5.79,3,9,8,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.6,0.037000000000000005,0.27,0.01%,0.58,8b --- 0 out d1,8b end d 1,,MON,1.0,L,5,6
