,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,10,8,2000-04-11,ANA,TOR,GS-5,W(1-0),99,5.0,7,2,2,4,4,1,0,3.6,23,83,44,11,11,4,11,6,0,0,45.0,,,0,1,0,18,2,0,0,0,0,0,0.99,0.129,1.03,0.08%,1.05,1t start tie,5t 3 out a3,,ANA,2.2,W,5,4
1,11,13,2000-04-17,ANA,TOR,GS-6,L(1-1),5,5.1,5,2,2,3,3,0,0,3.48,23,93,52,7,11,8,9,5,1,0,50.0,,,0,0,1,20,3,0,0,1,0,1,1.36,0.011000000000000001,1.47,0.01%,0.92,1b start tie,6b -2- 1 out d1,,TOR,1.5686274509803924,L,1,7
2,12,18,2000-04-22,ANA,TBD,GS-6,,4,6.0,5,6,6,4,4,3,0,5.51,27,97,59,9,9,8,11,2,3,0,38.0,,,0,0,0,22,1,0,0,0,0,0,1.15,-0.309,1.27,-0.21%,-2.49,1b start tie,6b 3 out tie,,TBD,1.5,L,9,11
3,13,23,2000-04-27,ANA,TBD,GS-6,L(1-2),4,5.0,5,3,2,4,4,0,0,5.06,24,93,54,7,14,8,8,3,0,0,47.0,,,2,0,0,18,2,0,0,0,1,1,1.01,-0.065,1.12,-0.04%,-0.36,1t start tie,6t 1-- 0 out d2,,ANA,1.8,L,3,7
4,14,28,2000-05-03,ANA,BAL,GS-6,W(2-2),5,5.0,4,4,4,2,3,2,0,5.47,21,86,47,11,7,7,9,2,0,0,44.0,,,1,0,0,18,0,0,0,0,1,0,1.02,-0.106,1.08,-0.07%,-0.56,1b start tie,6b 1-- 0 out a3,,BAL,1.2,W,6,5
5,15,33,2000-05-08,ANA,OAK,GS-4,,4,3.2,6,8,7,3,3,3,0,6.9,20,80,42,8,7,9,5,1,1,0,19.0,,,0,0,0,17,0,0,0,1,0,1,0.94,-0.516,1.25,-0.41%,-5.83,1t start tie,4t 1-- 2 out d5,,ANA,2.8125,W,9,8
6,16,86,2000-07-07,ANA,COL,GS-8,W(3-2),59,8.0,5,3,3,2,4,0,1,6.16,31,96,61,17,8,8,16,8,2,0,62.0,,,0,0,0,28,2,2,0,0,0,0,0.68,0.037000000000000005,0.75,0.02%,1.88,1t start tie,8t 3 out a9,,ANA,0.875,W,12,4
7,17,114,2000-08-08,ANA,BOS,CG,W(4-2),31,9.0,2,1,1,2,6,0,0,5.17,31,112,72,12,20,9,14,3,2,0,83.0,,,0,0,0,29,1,0,0,1,0,1,1.27,0.713,1.18,0.40%,4.49,1t start tie,9t 3 out a1,,ANA,0.4444444444444444,W,2,1
8,18,118,2000-08-13,ANA,NYY,GS-7,L(4-3),4,7.0,3,2,2,6,5,0,1,4.83,29,111,67,17,15,12,5,2,1,0,62.0,,,0,0,0,22,0,0,0,2,0,0,1.39,0.193,1.74,0.15%,2.27,1t start tie,7t 3 out d1,,ANA,1.2857142857142858,L,1,4
9,19,122,2000-08-18,ANA,NYY,GS-6,,4,5.2,11,8,8,2,4,2,0,5.58,29,101,62,15,8,10,13,7,0,0,17.0,,,0,1,0,27,0,0,0,0,0,1,0.81,-0.377,0.83,-0.23%,-3.71,1b start a 1,6b 1-- 2 out d4,,NYY,2.5,W,9,8
10,20,127,2000-08-23,ANA,BOS,GS-8,L(4-4),4,7.1,5,3,2,5,6,0,0,5.24,31,103,63,17,12,13,7,3,0,0,59.0,,,0,0,0,26,0,0,0,1,0,0,0.75,0.040999999999999995,1.03,0.03%,1.59,1b start tie,8b --- 1 out d2,,BOS,1.4084507042253522,L,1,3
11,21,131,2000-08-28,ANA,TOR,GS-8,L(4-5),4,8.0,5,4,4,0,3,3,0,5.16,31,125,80,11,12,16,12,3,1,0,59.0,,,0,0,0,31,1,0,0,0,0,2,0.71,-0.004,1.01,0.00%,0.88,1t start tie,8t 3 out d2,,ANA,0.625,L,2,4
12,22,136,2000-09-03,ANA,CHW,GS-1,,5,0.2,8,9,9,2,0,0,0,6.19,12,43,22,4,1,0,9,8,0,1,-2.0,,,1,0,0,9,5,0,0,0,1,0,1.02,-0.6579999999999999,0.77,-0.30%,-8.76,1b start a 4,1b -2- 2 out d5,,CHW,50.0,L,12,13
13,23,141,2000-09-08,ANA,BAL,GS-8,W(5-5),4,7.2,3,1,1,4,5,1,0,5.72,27,93,55,11,12,10,8,3,0,0,70.0,,,1,1,0,23,0,0,0,1,0,0,1.2,0.419,0.36,0.08%,3.51,1t start tie,8t -2- 2 out a1,,ANA,0.9722222222222222,W,2,1
14,24,146,2000-09-13,ANA,TBD,GS-7,W(6-5),4,6.0,6,4,3,3,6,1,0,5.64,25,98,59,11,16,9,7,1,1,0,49.0,,,0,2,0,22,0,0,0,1,0,1,0.72,-0.105,0.14,-0.01%,-0.75,1t start tie,7t 1-- 0 out a4,,ANA,1.5,W,8,4
15,25,150,2000-09-19,ANA,KCR,GS-7,L(6-6),5,7.0,7,4,4,3,5,0,0,5.61,30,102,59,10,16,8,14,7,1,0,49.0,,,1,0,0,26,0,0,0,1,0,0,0.88,-0.040999999999999995,0.07,0.00%,0.31,1b start tie,7b 3 out d3,,KCR,1.4285714285714286,L,1,5
16,26,155,2000-09-24,ANA,TEX,CG,W(7-6),4,9.0,5,2,2,2,5,1,0,5.3,32,103,67,17,16,12,13,3,0,0,72.0,,,0,0,0,30,0,0,0,2,0,0,0.95,0.276,0.01,0.00%,3.43,1b start a 1,9b 3 out a7,,TEX,0.7777777777777778,W,9,2
17,27,160,2000-09-29,ANA,SEA,GS-6,W(8-6),4,6.0,4,3,1,4,3,1,0,5.09,26,111,64,22,12,8,11,1,2,0,55.0,,,1,0,0,21,0,0,0,1,1,1,0.92,0.009000000000000001,0.0,0.00%,0.66,1t start tie,6t 3 out a5,,ANA,1.3333333333333333,W,9,3
18,28,3,2001-04-05,ANA,TEX,GS-7,W(1-0),99,7.0,4,2,2,2,10,1,1,2.57,28,107,64,13,20,5,10,3,0,0,69.0,,,1,1,0,25,1,0,0,0,0,1,0.79,0.146,0.88,0.10%,1.99,1b start tie,7b 3 out a5,,TEX,0.8571428571428571,W,10,3
19,29,8,2001-04-11,ANA,TEX,GS-8,W(2-0),5,7.1,5,2,2,2,7,0,0,2.51,29,109,71,10,17,8,12,2,0,0,65.0,,,1,0,0,27,2,0,0,0,0,0,0.53,0.252,0.62,0.18%,1.71,1t start tie,8t -2- 1 out a5,,ANA,0.9859154929577464,W,7,2
20,30,14,2001-04-17,ANA,OAK,GS-7,L(2-1),5,6.0,7,5,4,4,2,0,0,3.54,30,112,67,18,10,10,14,6,0,0,38.0,,,0,0,0,25,3,0,1,0,0,1,1.12,-0.122,1.19,-0.08%,-1.18,1t start tie,7t -23 0 out d2,,ANA,1.8333333333333333,L,1,5
21,31,19,2001-04-22,ANA,SEA,GS-6,L(2-2),4,5.0,10,5,5,3,3,1,0,4.62,27,102,65,14,13,9,12,6,1,0,27.0,,,0,0,0,24,2,1,0,1,0,0,0.84,-0.159,0.87,-0.10%,-2.78,1b start tie,6b 1-3 0 out d4,,SEA,2.6,L,0,5
22,32,24,2001-04-28,ANA,TOR,GS-8,W(3-2),5,7.1,5,1,1,1,3,0,0,3.86,28,89,59,12,10,11,13,4,1,0,66.0,,,0,0,0,27,0,0,0,2,0,2,1.16,0.355,0.86,0.16%,3.18,1b start tie,8b --- 1 out a3,,TOR,0.8450704225352114,W,4,1
23,33,30,2001-05-05,ANA,DET,GS-7,L(3-3),6,7.0,9,6,6,1,4,2,0,4.54,29,91,59,11,10,11,13,5,1,0,38.0,,,0,1,0,27,3,0,0,1,0,0,0.73,-0.311,0.7,-0.18%,-2.12,1t start tie,7t 3 out d4,,ANA,1.4285714285714286,L,2,11
24,34,35,2001-05-11,ANA,DET,GS-7,,5,6.1,8,6,2,3,8,1,0,4.3,31,116,75,16,25,11,9,4,0,0,46.0,,,0,1,0,27,3,0,0,0,0,2,1.45,-0.3,1.3,-0.16%,-3.02,1b start tie,7b 123 1 out a1,,DET,1.8032786885245904,L,6,7
