Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,3,2018-04-01,DET,PIT,GS-3,,99,3.0,5,3,3,1,3,2,0,9.00,14,69,43,8,7,1,9,5,0,0,39,,,0,1,0,13,0,0,0,0,0,0,1.00,-0.171,.83,-0.09%,-1.42,3.15,9.00,1t start tie,3t 3 out d1,2,DET,2.0,L,6,8
2,38,2018-05-12,DET,SEA,6-6,,40,0.2,0,0,0,1,1,0,1,7.36,4,19,12,3,5,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.99,0.009,.94,0.01%,0.08,2.30,5.00,6t --- 0 out d1,6t 12- 2 out d1,2,DET,5.0,L,5,9
3,42,2018-05-16,DET,CLE,GS-5,L(0-1),3,5.0,7,6,5,1,0,1,1,8.31,24,88,54,13,4,10,12,6,2,0,30,,,0,0,0,21,1,0,0,1,1,1,.69,-0.261,.96,-0.22%,-3.37,-4.15,0.00,1t start tie,5t 3 out d6,,DET,1.6,L,0,6
4,56,2018-05-31,DET,LAA,GS-5,,14,4.0,5,1,1,0,3,1,0,6.39,18,69,45,11,5,6,9,4,1,0,51,,,0,0,0,18,0,0,0,0,0,1,.80,0.091,.71,0.05%,1.11,10.00,18.00,1t start tie,5t --- 0 out a4,,DET,1.25,W,6,2
5,124,2018-08-18,DET,MIN,GS-6,W(1-1),78,5.1,8,3,3,0,3,3,0,6.00,24,86,56,19,6,6,15,6,1,0,43,,,0,0,0,24,1,0,0,0,0,0,.97,-0.030,.00,0.00%,-0.17,11.20,28.00,1b start tie,6b --- 1 out a3,,MIN,1.5686274509803924,W,7,5
6,130,2018-08-25,DET,CHW,GS-5,L(1-2),6,4.1,9,6,6,1,5,1,1,7.25,23,94,59,10,12,7,9,8,0,0,25,,,1,0,0,20,3,0,0,0,1,0,.66,-0.339,.00,0.00%,-4.07,1.15,10.00,1t start tie,5t -2- 1 out d5,,DET,2.439024390243903,L,1,6
7,34,2019-05-09,DET,LAA,GS-5,L(0-1),99,5.0,7,6,6,1,2,2,0,10.80,22,80,52,14,6,7,12,6,1,0,30,,,0,0,0,20,1,0,0,2,1,1,.54,-0.312,.48,-0.17%,-3.18,-1.55,3.00,1t start tie,5t 3 out d6,,DET,1.6,L,0,13
8,40,2019-05-14,DET,HOU,GS-4,L(0-2),4,4.0,9,8,7,3,5,2,0,13.00,25,90,60,22,4,7,10,6,1,0,16,,,0,0,0,22,1,1,0,0,0,1,.56,-0.386,.46,-0.19%,-5.75,-2.20,6.00,1t start tie,4t 3 out d7,,DET,3.0,L,4,11
9,50,2019-05-25,DET,NYM,GS-5,,10,5.0,2,2,1,0,5,1,0,9.00,18,56,41,9,8,6,7,3,0,0,62,,,0,0,0,18,0,0,0,0,0,1,.91,0.004,.22,0.00%,0.43,18.05,27.00,1b start a 1,5b 3 out d1,,NYM,0.4,L,4,5
10,54,2019-05-29,DET,BAL,GS-5,,3,5.0,4,2,2,2,3,1,2,7.58,23,79,50,12,5,6,10,2,2,0,52,,,1,0,0,19,2,0,0,0,0,0,.97,0.025,.16,0.00%,0.74,8.45,18.00,1b start tie,5b 3 out d1,,BAL,1.2,W,4,2
11,58,2019-06-04,DET,TBR,GS-7,W(1-2),5,7.0,7,2,2,0,3,1,0,6.23,26,84,56,12,5,8,15,6,1,0,58,,,0,0,1,26,1,0,0,1,0,0,.95,0.129,.15,0.01%,1.95,17.55,36.00,1t start tie,7t 3 out a4,,DET,1.0,W,9,6
12,63,2019-06-09,DET,MIN,GS-4,L(1-3),4,3.2,10,8,8,1,1,2,0,7.89,22,70,49,13,5,6,14,8,1,0,9,,,0,0,0,20,2,0,0,0,1,0,.73,-0.328,.09,-0.03%,-4.39,-12.35,-10.00,1t start tie,4t -23 2 out d5,,DET,3.4375,L,2,12
13,67,2019-06-14,DET,CLE,GS-4,L(1-4),4,3.0,8,8,6,4,2,1,0,8.82,21,92,53,13,7,6,9,6,1,0,13,,,0,0,0,17,2,0,0,0,0,0,1.17,-0.492,.07,-0.02%,-5.16,-8.45,-3.00,1t start tie,4t 123 0 out d2,,DET,4.0,L,4,13
14,84,2019-07-05,DET,BOS,GS-5,L(1-5),20,5.0,7,3,3,1,4,1,0,8.36,22,80,59,13,8,9,8,4,1,0,44,,,0,0,0,21,1,0,0,1,0,0,.81,-0.061,.00,0.00%,-0.18,8.45,18.00,1t start tie,5t 3 out d2,,DET,1.6,L,6,9
15,91,2019-07-16,DET,CLE,GS-3,L(1-6),10,3.0,7,7,7,1,0,1,0,9.30,18,55,38,7,3,5,12,5,1,0,16,,,1,0,0,17,4,0,0,0,0,1,.67,-0.328,.00,0.00%,-5.28,-12.05,-12.00,1b start tie,3b 3 out d7,,CLE,2.6666666666666665,L,0,8
