,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,35,2015-05-17,BAL,LAA,GS-8,W(1-0),99,7.1,4,0,0,0,6,0,0,0.0,25,90,59,13,8,8,11,3,2,0,76.0,,,0,0,0,25,1,0,0,1,0,0,1.17,0.451,0.87,0.20%,3.45,1t start tie,8t 1-- 1 out a1,,BAL,0.5633802816901409,W,3,0,,
1,2,40,2015-05-23,BAL,MIA,GS-7,,5,7.0,3,0,0,3,4,0,1,0.0,27,98,56,14,6,9,10,6,3,0,72.0,,,1,0,0,23,0,0,2,0,0,0,1.36,0.42200000000000004,1.22,0.23%,3.12,1b start tie,7b 3 out tie,,MIA,0.8571428571428571,L,0,1,,
2,3,46,2015-05-28,BAL,CHW,GS-5,W(2-0),4,5.0,6,3,3,0,2,2,0,1.4,21,81,54,14,1,9,10,4,2,0,45.0,,,0,0,0,21,1,0,0,0,0,0,0.92,-0.053,0.82,-0.03%,-0.52,1t start tie,5t 3 out a1,2.0,BAL,1.2,W,6,3,,
3,4,51,2015-06-02,BAL,HOU,GS-5,L(2-1),4,5.0,8,5,5,1,4,2,1,2.96,24,87,53,7,7,8,10,2,1,0,34.0,,,0,0,0,22,1,0,0,1,0,0,0.93,-0.308,0.77,-0.15%,-2.64,1b start tie,5b 3 out d1,,HOU,1.8,L,4,6,,
4,5,62,2015-06-14,BAL,NYY,GS-5,L(2-2),11,4.0,6,5,5,3,2,0,1,4.13,22,104,62,13,7,7,9,3,2,0,29.0,,,0,0,0,17,1,0,0,0,1,0,1.52,-0.233,1.92,-0.18%,-1.85,1t start tie,5t 123 0 out a1,,BAL,2.25,L,3,5,,
5,6,67,2015-06-19,BAL,TOR,GS-2,L(2-3),4,1.1,3,4,4,4,1,0,1,5.16,12,48,22,7,5,1,5,1,0,0,29.0,,,0,0,0,7,2,0,0,0,0,0,0.88,-0.276,1.04,-0.20%,-3.57,1b start tie,2b 123 1 out d3,,TOR,6.363636363636362,L,4,5,,
6,7,102,2015-07-31,BAL,DET,4-5,,41,1.0,1,0,0,0,0,0,0,4.99,3,11,8,3,0,3,0,0,0,0,,1.0,0.0,0,1,0,3,0,0,0,0,0,0,0.15,0.008,0.18,0.01%,0.5,4t 1-- 1 out d6,5t 1-- 1 out d5,,BAL,1.0,W,8,7,,
7,8,135,2015-09-05,BAL,TOR,GS-4,L(2-4),35,4.0,7,3,3,1,4,1,1,5.19,21,80,51,11,12,3,12,7,0,0,39.0,,,0,0,0,19,3,0,0,0,0,0,0.98,-0.127,0.16,-0.01%,-1.0,1b start tie,4b 3 out d3,,TOR,2.0,L,1,5,,
8,9,140,2015-09-11,BAL,KCR,GS-6,,5,5.0,4,4,4,2,2,2,0,5.45,21,86,50,11,6,5,12,6,2,0,43.0,,,0,0,0,18,2,0,0,0,1,0,0.72,-0.203,0.05,-0.01%,-1.52,1t start tie,6t --- 0 out d2,,BAL,1.2,W,14,8,,
9,10,145,2015-09-16,BAL,BOS,GS-4,L(2-5),4,3.0,6,6,6,1,1,2,0,6.33,16,60,37,9,5,4,10,4,1,0,23.0,,,0,0,0,15,1,0,0,0,0,0,0.69,-0.292,0.09,-0.02%,-4.0,1t start tie,4t -23 0 out d4,,BAL,2.333333333333333,L,1,10,,
